  [1] "warning spoilers included review "                                                                                                                                  
  [2] " doesnt really make much difference "                                                                                                                               
  [3] "deep impact begins official summer movie season also brings back memories "                                                                                         
  [4] "remember dantes peak came february "                                                                                                                                
  [5] " months later volcano released "                                                                                                                                    
  [6] " first film smart exhilirating one best disaster films ever seen "                                                                                                  
  [7] " latter film incohesive mess defied logic wasted talent "                                                                                                           
  [8] "well deja vu two disaster films go head head competition "                                                                                                          
  [9] " time unfortunately first comet flick bad people may shy away armageddon upcoming cometdisaster released beginning july "                                           
 [10] " course general reaction audience oppposed mine minority stood side dantes peak "                                                                                   
 [11] " watching deep impact began wonder anyone right mind actually like film "                                                                                           
 [12] "apparently many utterly baffles "                                                                                                                                   
 [13] " completely honest havent little fun watching disaster film entire life "                                                                                           
 [14] "volcano implausibilities wazoo still rather fun watch "                                                                                                             
 [15] "deep impact doesnt just implausibilities also contains cheap human drama incredibly horrible special effects poorly constructed plot "                              
 [16] " thing gives half star bottom ranking slightly entertaining final fifteen minutes good actors making characters "                                                   
 [17] "deep impact begins unnamed year year varies advanced technology sets future fire sky showing local movie theater pushing back "                                     
 [18] " line students outside night peering telescopes dark sky "                                                                                                          
 [19] "among leo biederman elijah wood sarah hotchner leelee sobieski "                                                                                                    
 [20] "leo unknowingly discovers comet teacher sends photo unknown object astronomer able determine correct path distant comet seconds "                                   
 [21] " races mail information killed reckless car accident "                                                                                                              
 [22] " year passes nothing heard "                                                                                                                                        
 [23] " introduced jenny lerner t leoni reporter msnbc "                                                                                                                   
 [24] " gets handed job investigate possible coverup government involving senator alan rittenhouse james cromwell "                                                        
 [25] " talks woman mentions rittenhouse affair girl named ellie "                                                                                                         
 [26] " talking rittenhouse unsatisfied information gets decides use internet help "                                                                                       
 [27] "luckily knows exactly spell certain ellie looking spell ele film "                                                                                                  
 [28] " girl pretty darn smart guessing spelled "                                                                                                                          
 [29] " can use information government decides push car road "                                                                                                             
 [30] " take meet president united states president beck morgan freeman "                                                                                                  
 [31] "beck recommends jenny keep information secret hours can confirm hold press conference "                                                                             
 [32] "naturally wants compensated offer front row seat chance first question "                                                                                            
 [33] " yada yada yada reveal comet public plans send massive spacecraft destroy can arrive "                                                                              
 [34] " announce plan called ark hope survival "                                                                                                                           
 [35] " computer will select people random "                                                                                                                               
 [36] " people ones will go large cave underground impact comet wont kill entire human race "                                                                              
 [37] " two years dust will settle actually take much much longerapproximately ninety years understand humans come back surface start "                                    
 [38] " rest plot standard disaster film procedures one subplot worth mentioning "                                                                                         
 [39] "jenny father jason maximilian schell touching relationship forms impending doom "                                                                                   
 [40] " final moment involving two characters heartfelt emotional "                                                                                                        
 [41] " shame nothing else heartfelt "                                                                                                                                     
 [42] "now course know comet impact surface "                                                                                                                              
 [43] " title alone suggests previews actually show "                                                                                                                      
 [44] " absoltuely tension can drawn attempt stop comet know wont work "                                                                                                   
 [45] "director mimi leder came successful tries direction episodes hit television show er "                                                                               
 [46] " major film debut peacemaker pathetic heartless action film "                                                                                                       
 [47] "well time leder outdid creating film worse one "                                                                                                                    
 [48] "suggestion ms leder please stay away big screen least action genre "                                                                                                
 [49] "much blame can placed leder directly pace disastrously "                                                                                                            
 [50] "throughout film given subtitles tell us much time passed goes months weeks hours "                                                                                  
 [51] " literally feels like lapsed time taking place realtimeits boring "                                                                                                 
 [52] " course leder isnt blame "                                                                                                                                          
 [53] "screenwriters michael tolkin bruce joel rubin crafted simplistic story gets worse time "                                                                            
 [54] " starts promising soon turns deadly audience anyway "                                                                                                               
 [55] "chock full cheesy one liners know going sex anyone else school "                                                                                                    
 [56] " stupid characters might think back s "                                                                                                                             
