 [1] "forget get carter "                                                                                                                                                                                           
 [2] "instead "                                                                                                                                                                                                     
 [3] "get cup coffee "                                                                                                                                                                                              
 [4] " hell happened good american action movies "                                                                                                                                                                  
 [5] " unknowingly miss meeting somewhere "                                                                                                                                                                         
 [6] " badass kicking butt taking names guntoting crazed vengeful characters s films commando cobra predator raw deal first blood suddenly turn innocent compassionate sensitive tearyeyed knuckleheads "           
 [7] " place turn days honest action film towards east dont mean new york city "                                                                                                                                    
 [8] "get carter latest masterpiece uberthespian sylvester stallone prime example large charge s action stars trying fit back action roles long since outgrown "                                                    
 [9] "stallone seems like one uncle tries cool members jacket izod polo shirt collar popped "                                                                                                                       
[10] " years ago stallone made movie gave opportunity gracefully exit roles typecast action monkey "                                                                                                                
[11] " role sheriff freddy heflin copland strange film redemption within broken soul "                                                                                                                              
[12] "stallone actually gave amazing performance seemed shaken past "                                                                                                                                               
[13] " bad get carter returns stallone action shiny paint rusted edges "                                                                                                                                            
[14] "get carter simple story "                                                                                                                                                                                     
[15] "stallone plays frank carter vegas bruiser loan shark played amazing gusto uncredited voice actor tom sizemore "                                                                                               
[16] " franks brother gets killed drunk driving accident frank feeling guilty mushy inside thinks foul play involved travels seattle set right wrongs patented carters way "                                        
[17] " talks tough brothers wife lends helping brothers daughter doreen rachel leigh cook walks around seattle pouring rain dressed like lost member rat pack really bad goatee "                                   
[18] "carter finds brother involved bad stuff slimy porn king played ultracool mcqueenesque mickey rourke multimillionaire computer geek alan cumming strange foreign guy michael caine speaks riddles talks tough "
[19] "carter stalks trying figure brother extract proper revenge responsible parties "                                                                                                                              
[20] " minute "                                                                                                                                                                                                     
[21] " sounds just like another film saw last year limey "                                                                                                                                                          
[22] "better tell terence stamp stallone ripping "                                                                                                                                                                  
[23] "actually get carter remake british production name starring caine title role cameo cleverness astonishing "                                                                                                   
[24] " stallone still carries weight movie lacks original well purpose "                                                                                                                                            
[25] "throughout film stallone looks like old guy trying act tough nobody taking seriously "                                                                                                                        
[26] " oneliners fall flat seems tired uncertain actions mental physical required character "                                                                                                                       
[27] " even strange homoeroticism rourke stallone lends bizarre tone numerous conversations fists words "                                                                                                           
[28] " biggest surprise get carter best job done film versatile mickey rourke "                                                                                                                                     
[29] " amazing method actor eighties fell drugs spousal abuse boxing career intolerable attitude towards getting way rourke still brings dangerous sense purpose porn king character "                              
[30] " may win oscars still ranks highly book "                                                                                                                                                                     
[31] "get carter great directing strong acting rourke caine energetic car chases make william friedkin proud "                                                                                                      
[32] " thing lacks hollywood productions good script proper casting "                                                                                                                                               
[33] "never mind never made "                                                                                                                                                                                       
