 [1] " dont need seen original species appreciate utterly lousy species ii "                                                                                                                                 
 [2] " exceptions sequels tend worse films spawned fact species ii followup isnt reason miserable "                                                                                                          
 [3] " predictable storyline cardboard characters banal dialogue failed attempts humor revolting special effects gratuitous nudity female course bad acting bland direction "                                
 [4] " plot simply geared getting alien species back planet earth can reak havoc involves three astronauts landing mars inadvertently bringing alien slime soil sample back aboard shuttle "                 
 [5] " slime well sort jumps screen turns black "                                                                                                                                                            
 [6] " end movie right "                                                                                                                                                                                     
 [7] "back terra firma least one crew now carrier alien dna youll remember saw first movie driven strong urge procreate "                                                                                    
 [8] " parallel track government scientists cloned version sil first film now called eve played natasha henstridge keeping around testing "                                                                  
 [9] " apparently includes observing eves reaction dukes hazzard tv show appears enjoy "                                                                                                                     
[10] "eves biorhythms go scale time one kinfolk mates forced witness grossout detail otherwise doesnt appear whole lot reason henstridge film unless written contract lets hope cited one sequel one sequel "
[11] "eve finally breaks free confinesand brafor finale effects messy cant really see whats going "                                                                                                          
[12] "peter boyle totally wasted institutionalized scientist screams told em go "                                                                                                                            
[13] " top lungs referring mars mission likely aimed makers piffle "                                                                                                                                         
[14] "michael madsen reprises role press lennox can enter high security areas flash badge claim press maybe marg helgenberger dr laura baker one subjecting eve tv reruns "                                  
[15] "theyre unbelievably wooden "                                                                                                                                                                           
[16] "whats talented filmmaker like peter medak ruling class krays let directing tripe wonder "                                                                                                              
[17] " unfortunate trend oncetalented directors throwing towel lending names unchallenging horror flicks like species ii "                                                                                   
[18] "last year peter hyams gave us relic thanks necessary "                                                                                                                                                 
[19] " first species helmed roger donaldson although certainly genius behind camera demonstrated much better judgment previous choice projects "                                                             
[20] " just better offers "                                                                                                                                                                                  
[21] " species ii worthless "                                                                                                                                                                                
[22] "worse also exploitative offensive insulting intelligence every turn "                                                                                                                                  
[23] " isnt anything positive say film "                                                                                                                                                                     
[24] " "                                                                                                                                                                                                     
[25] " minutes ends "                                                                                                                                                                                        
