 [1] "deadbang action thriller starring don johnson lives dumb title least half "                                                                                                                 
 [2] "although deadbang definitely dead anything bang fact called one dead bore "                                                                                                                 
 [3] " film johnson plays "                                                                                                                                                                       
 [4] " guessed "                                                                                                                                                                                  
 [5] " cop "                                                                                                                                                                                      
 [6] " role must really challenging johnson since character jerry beck gritty los angeles homicide detective real stretch slick vice detective johnson portrayed miami vice "                     
 [7] " la mel gibson lethal weapon beck emotional wreck complete violent outbursts unscrupulous police methods bleak outlook life "                                                               
 [8] "becks wife just divorced cutting children "                                                                                                                                                 
 [9] " will even allow wish merry christmas telephone "                                                                                                                                           
[10] " becks family emotional problems take back seat action thrills deadbang "                                                                                                                   
[11] "beck investigating brutal murders shopkeeper cop "                                                                                                                                          
[12] " investigation starts l finally culminates climaxes oklahoma violent showdown killers white supremacist camp "                                                                              
[13] "virtually every aspect deadbang inept ineffective "                                                                                                                                         
[14] " plot incoherent full holes "                                                                                                                                                               
[15] " movie depicts becks investigation clumsily never see connections clues conclusions "                                                                                                       
[16] " action sequences deadbang strictly thirdrate movie absolutely momentum suspense "                                                                                                          
[17] " certainly expected longtime director john frankenheimer directed classic political thriller manchurian candidateas well black sunday seven days may french connection ii "                 
[18] " fairness frankenheimer however note deadbangs shortcomings seem stem shabby script rather direction "                                                                                      
[19] "deadbang tries don mask social relevance incorporating themes racism white supremacy efforts nothing token gestures nothing less insulting "                                                
[20] "according movies production notes deadbang based reallife experiences stillactive detective jerry beck "                                                                                    
[21] " never guess watching deadbang however since film totally lacks credibility utterly unconvincing unbelievable "                                                                             
[22] " characters deadbang either atrociously acted underdeveloped superfluous "                                                                                                                  
[23] "william forsythe example painfully bad arthur kressler wholesome bythebook fbi agent whos offended becks foul language unorthodox methods "                                                 
[24] "forsythes lame performance corny dialogue makes character unbearable "                                                                                                                      
[25] "deadbang marks motion picture debut tim reid wkrp cincinnati franks place talents completely wasted cliched contrived role plays chief officer squadron black cops help beck nail villains "
[26] " sole function penelope ann millers character give deadbang excuse include gratuitous love scene characters care less "                                                                     
[27] " guess films title refers love scene since definitely dead bang "                                                                                                                           
[28] " real virtue deadbang believe don johnson tries overcome limitations movies pitiful script "                                                                                                
[29] "johnson succeeds giving character sarcastic sense humor hint depth pessimistic wisecracks occasionally bring film life "                                                                    
[30] " must admit deadbang one two amusing moments "                                                                                                                                              
[31] " funniest scene johnson throwingup criminal interrogates "                                                                                                                                  
[32] " barf highlight movie know movies trouble "                                                                                                                                                 
[33] " amusing scene involves psychological examination beck cant keep straight face psychiatrist resembles woody allen "                                                                         
[34] " two funny scenes couple good wisecracks movie make "                                                                                                                                       
