 [1] " said order truly enjoy today\022s movies novels must \023suspend disbelief \024 "                                                                                                                                  
 [2] "however distinct separation opening mind ridiculous situations believing bunch flat lies "                                                                                                                          
 [3] " came surprise learn huntingburg indiana film set mcdonalds sears store statue man horse even dam close "                                                                                                           
 [4] "even can ignore somewhat \023white\024 lies even though dam crucial hard rain\022s plot still bunch things just don\022t gel "                                                                                      
 [5] "firstly morgan freeman possibly greatest actor alive films driving miss daisy shawshank redemption seen cast shifty goon intent stealing enough money healthy retirement "                                          
 [6] " played town sheriff experienced somewhat intriguing policeman "                                                                                                                                                    
 [7] " massive flood started dam accident overwhelms huntingburg residents presumably flee water level steadily increases "                                                                                               
 [8] " say presumably simply never know happened seems tad strange entire town exception folk get introduced along way can vanish flood actually started "                                                                
 [9] " nether less armored guard couriers tom christian slater uncle carrying three million dollars back van "                                                                                                            
[10] " heavy rainstorm causing depressing conditions slippery roads doesn\022t take long van end stuck amongst mud water side road "                                                                                      
[11] "jim morgan freeman small gang thieves locate van attempt steal three million dollars "                                                                                                                              
[12] " course tom willing save day takes money hides elsewhere town "                                                                                                                                                     
[13] " local sheriff randy quaid will remember drunken pilot id couple police men investigate situation morals soon overpowered greediness character contemplates heshe share three million dollars "                     
[14] "director mikael salomon made sure hard rain ends turning everything topsyturvy whilst film may first appear definite \023goodies versus baddies \024 numerous twists \022s plot make slightly enjoyable experience "
[15] " time interesting changes occur \022s far late film much affect "                                                                                                                                                   
[16] "hard rain\022s continuos corniness lack originality washes whatever hope script may although \022s cast somewhat appealing stars act well par "                                                                     
[17] " one stage capturing fabulous screen battle slater freeman left reminisce films dared something different achieved expected "                                                                                       
[18] " titles broken arrow slater john travolta faceoff nicholas cage john travolta come mind films mastered silver screen confrontations "                                                                               
[19] "strangely enough directed john woo star john travolta "                                                                                                                                                             
[20] " can forgive morgan freeman giving slightly disappointing performance since newish action genre christian slater achieved much amount crummy one liners reduced personality added character "                       
[21] " asked whether slater perform well enough substantially boost movie prior release broken arrow answer definite "                                                                                                    
[22] " now know excuse can better don\022t believe rent copy broken arrow local video store "                                                                                                                             
[23] "although hard rain never really works start somehow felt feelings missed opportunity credits filled screen "                                                                                                        
[24] " addition enticing subplot given film time breathe rather try cram minutes action disaster story can\022t handle anything else "                                                                                    
[25] "despite fact hard rain fails almost every account standards low enough may find mildly enjoyable film "                                                                                                             
[26] " creative flair inventive scenes means hard rain stand well many competitors doesn\022t really matter since last thing want shelling compare films "                                                                
