 [1] " houses born bad goes hauntings tag line must add movies "                                                                                                                                                                                                          
 [2] "nothing short hiring new cast literate screenwriter new director saved tragically misguided adaptation jacksons meritorious novel "                                                                                                                                 
 [3] " haunting late entry summer dreck slick creepy seemingly endless stream digital trickery spooky ooky sound effects dont frighten much numb audience submissionthe film like rube goldberg contraption rigged shout boo "                                            
 [4] "fragile nell taylor bisexual theo zetajones smiley luke wilson three insomniacs gather reputedly possessed hill house extended study sleep disorders hosted professor marrow neeson "                                                                               
 [5] "marrows secretly gathering data respective paranoid responses recount hill houses bleak history "                                                                                                                                                                   
 [6] "hes prepared real apparitions terrorize crew nell especially ancestral connection manors previous inhabitants "                                                                                                                                                     
 [7] "taylor thoroughly insufferable first bigbudget lead "                                                                                                                                                                                                               
 [8] " starters consistently dour expression sucks life even early scenes introduced mansion funhouse trappings "                                                                                                                                                         
 [9] " character supposed depressed tended unloving mother many years taylor plays nell supernaturally lame alternately grouchy mopey wiggy pathetic kept wondering characters didnt just ditch bitch "                                                                   
[10] " obscenely photogenic zetajones breezes scenes wink smile takes scenery "                                                                                                                                                                                           
[11] "unfortunately shes saddled unlikely dialogue screenplay offer "                                                                                                                                                                                                     
[12] "theos assessment house "                                                                                                                                                                                                                                            
[13] " love "                                                                                                                                                                                                                                                             
[14] "sort charles foster kane meets munsters "                                                                                                                                                                                                                           
[15] " earth say place citizen kane meets munsters "                                                                                                                                                                                                                      
[16] " furthermore gladly spend single night house befitting description "                                                                                                                                                                                                
[17] " actresses fare better neeson looks embarrassed part ensemble good reason character bland "                                                                                                                                                                         
[18] " luke puts dr marrow pulls old academic bait switch subjects breaks confesses second hes accused "                                                                                                                                                                  
[19] "later risks life climbing crumbling stairwell save nell amusing hear neeson shout nell repeatedly given starring role jodie foster vehicle name "                                                                                                                   
[20] " nice helpful redemptive researcher absent ethics start "                                                                                                                                                                                                           
[21] " haunting well designed eugenio zanetti "                                                                                                                                                                                                                           
[22] " sets obsessively detailed even cgi kicks seem alive never quite still "                                                                                                                                                                                            
[23] " one beef aspect production real life mansion used exterior shots nottinghamshires harlaxton manor vast one trouble believing nell company matter much running away ghosts goblins always finish locations established act one action confined one wing hill house "
[24] "eighty million dollars spent haunting despite powerhouse box office debut doubt will recoup costs including marketing domestically "                                                                                                                                
[25] "thank jan de bont proving third time speed fluke actually enjoyable de bont served another ride sans thrill "                                                                                                                                                       
[26] " images welllit though unmistakable theredone quality fact whole sequences mention cloaked airy ghoul owns climax feel lifted much smarter infinitely enjoyable spectacle three summers back peter jacksons frighteners "                                           
[27] " dont mean suggest de bont plagiarist mean suggest hes hack found new ways give us chills "                                                                                                                                                                         
