 [1] " femme la femme nikita "                                                                                                                                                                                                                              
 [2] " baldwin backdraft sliver fair game cindy crawford "                                                                                                                                                                                                  
 [3] "together anne parillaud william baldwin conspire make shattered image biggest piece hooey since stallonestone thriller specialist "                                                                                                                   
 [4] " film poses question life youre living now really dream dreams reality "                                                                                                                                                                              
 [5] " either woman whos haunted recurring recurring recurring nightmare shes hired assassin hired assassin whos haunted recurring recurring recurring nightmare shes honeymooning william baldwin jamaica "                                                
 [6] " doesnt much matter believe time shattered image runs painful pedestrian course wont care "                                                                                                                                                           
 [7] " two lives parillaud looking like siouxsie sioux black wig black emotionless eyes black leather clothing seattlebased assassin scenes moping around like karen carpenter jamaica scenes play endlessly throughout film result now twice boring might "
 [8] " complicated plots cant entertaining "                                                                                                                                                                                                                
 [9] " course helps interesting characters crisp dialogue modicum style "                                                                                                                                                                                   
[10] " shattered image isnt complex just stupid "                                                                                                                                                                                                           
[11] " boring "                                                                                                                                                                                                                                             
[12] "parillaud baldwin arent exactly shakespearean material begin saddled leaden dialogue characters zero chance breaking free cardboard confines "                                                                                                        
[13] "lines like "                                                                                                                                                                                                                                          
[14] " dont beg insist "                                                                                                                                                                                                                                    
[15] " like woman "                                                                                                                                                                                                                                         
[16] "thats parillauds character talking "                                                                                                                                                                                                                  
[17] " cat "                                                                                                                                                                                                                                                
[18] " "                                                                                                                                                                                                                                                    
[19] " youre reason couldnt care less "                                                                                                                                                                                                                     
[20] "huh "                                                                                                                                                                                                                                                 
[21] " wonderful bathroom interchange early film "                                                                                                                                                                                                          
[22] " give couple minutes know ill charm pants "                                                                                                                                                                                                           
[23] " dont kind time "                                                                                                                                                                                                                                     
[24] "talking pants parillaud clothes faster can say point return "                                                                                                                                                                                         
[25] " come expect billy baldwin might nice learned something characters first "                                                                                                                                                                            
[26] " theres nothing learn "                                                                                                                                                                                                                               
[27] "karen interesting cereal box someonesouttogetme crybaby imagines voice end phone stranger sends flowers maybe even husband wouldbe killer "                                                                                                           
[28] "siouxsie chromium cool toughasnails crack killing machine shoots couple mirrors order justify films meaningless stock title "                                                                                                                         
[29] "baldwin seems interested parillauds nest egg can pave paradise put parking lot "                                                                                                                                                                      
[30] " time graham greene shows gets killed "                                                                                                                                                                                                               
[31] "barbet schroeder reversal fortune coproduced ashamed "                                                                                                                                                                                                
[32] "every now fun watch really bad movie "                                                                                                                                                                                                                
[33] " every now shattered image makes agonizingly clear isnt "                                                                                                                                                                                             
