 [1] "jeanclaude van damme movies tend nothing else lot mindless fun "                                                                                                                                                                                        
 [2] " latest film knock skips fun part leaving wildly incoherent exercise well simply mindless "                                                                                                                                                             
 [3] " cant really blame van damme "                                                                                                                                                                                                                          
 [4] " one suspect ever expected muscles brussels contribute heartfelt performance brimming introspection delicate shades gray "                                                                                                                              
 [5] " even sidekick costar saturday night live alumnus rob makin copies schneider whats expected although neither appear want role straight man "                                                                                                            
 [6] " problem film direction "                                                                                                                                                                                                                               
 [7] " first five minutes film incomprehensible "                                                                                                                                                                                                             
 [8] " goes downhill "                                                                                                                                                                                                                                        
 [9] "five hundred characters seems introduced within first fifteen minutes "                                                                                                                                                                                 
[10] "van damme doesnt land first kick thirtytoo late action fansand time hour mark rolled around jaw will cup holder youll wondering elected spend seven dollars mess "                                                                                      
[11] "director hark tsui whose previous film van dammedennis rodman teamed double team films frenetic pace hard know whats going whos whose side point "                                                                                                      
[12] "faster can yell fruit stand "                                                                                                                                                                                                                           
[13] " watching crazed rickshaw race schneider bounced along energetic van damme "                                                                                                                                                                            
[14] " schneider starts whacking van damme behind fourfoot eel enthusing move beautiful big ass movie takes unprecedented turn bizarre "                                                                                                                      
[15] "every now knock will deliver truly ingenious directorial flourishesinventive camera shots angles wild rides gun silencers tops buildings sprawling street revealing cutins within framebut happen quickly within furious frame reference theyre wasted "
[16] " hark slowed things just minute "                                                                                                                                                                                                                       
[17] " youre interested plot youre better reading capsule review trying extract meaning onscreen shenanigans jeanclaude van damme plays shady bluejeans manufacturer uncovers russian mafia plot terrorize world nanobombs hidden cabbage patch knockoffs "   
[18] "maybe "                                                                                                                                                                                                                                                 
[19] " paul sorvino "                                                                                                                                                                                                                                         
[20] " accurate summary jeanclaude van damme bums around hong kong failing avoid large blatant cocacola product placements "                                                                                                                                  
[21] " fact film staged hong kongs last days british rule gets lip service doesnt figure "                                                                                                                                                                    
[22] "perhaps knock s intriguing credit ron russell mael composed frenzied music score "                                                                                                                                                                      
[23] " might remember mael brothers s synth pop duo sparks contributions confused accompanying action kimono house indeed "                                                                                                                                   
[24] "like cheap jeans pumma sneakers manufactured hong kong van dammes latest real phony "                                                                                                                                                                   
