 [1] " ads batman robin scream event summer thats problem "                                                                                                            
 [2] " producers apparently intent creating spectacle forgot put actual movie inside "                                                                                 
 [3] " batman robin minutes lavish sets flashy costumes big confusing fight scenes barely hint substance "                                                             
 [4] " like one cheesy kings island stage shows bright busy visually diverting much fun "                                                                              
 [5] " wasnt always way "                                                                                                                                              
 [6] "tim burtons batman epic story obsession duality darkness revenge "                                                                                               
 [7] " film far perfect striking mood piece otherworldly feel "                                                                                                        
 [8] "batman creepy brooding creature night "                                                                                                                          
 [9] " joker brilliantly overplayed jack nicholson charismatic repellent "                                                                                             
[10] "batman joker opposite sides coin battling inner demons one another gotham citys breathtaking gothic skyline "                                                    
[11] " days dark knight gone replaced psychedelic ice capades run amuck "                                                                                              
[12] " batman robin far common campy s batman tv show tim burtons tale darkness "                                                                                      
[13] " blame lies director joel schumacher "                                                                                                                           
[14] " former windowdresser schumacher adept decorating sets dressing people exotic costumes "                                                                         
[15] "unfortunately comes time people walk talk hasnt faintest notion "                                                                                                
[16] " batman robin overstuffed intricately choreographed fight scenes poorly edited often difficult tell whos whacking "                                              
[17] " characters flail oneliners bad puns tossed like confetti "                                                                                                      
[18] " carefully placed jokes can set action movie sailing many wisecracks can undermine momentum film "                                                               
[19] " batman robin doesnt merely lose momentum stalls completely several occasions "                                                                                  
[20] " rare see action flick sluggish one "                                                                                                                            
[21] "ironically parts batman robin work ones showing characters street clothing succeed george clooney bruce wayne "                                                  
[22] "easily best batman yet clooneys expressive eyes weary smile gives character sense depth script doesnt even hint "                                                
[23] " films effective scene tender quiet exchange clooney alfred michael gough bruce waynes butler surrogate father "                                                 
[24] " heroes chris odonnells robin enthusiastic perky horny hell pudgy alicia silverstone hard accept athlete debut batgirl "                                         
[25] " movie filled brim major characters decision add entirely unnecessary batgirl elle macpherson bruce waynes girlfriend puzzling "                                 
[26] " suspect producers inserted women attempt convince audiences two guys run around rubber suits builtin nipples shapely buttocks huge codpieces actually straight "
[27] " course real stars batman film villains thats batman robin really suffers "                                                                                      
[28] " mr freeze arnold schwarzenegger gives worst performance years spitting stream lame catch phrases wooden fashion "                                               
[29] "laboring ton appliances schwarzenegger looks hes trouble even moving suit let alone trying act "                                                                 
[30] "uma thurman fares somewhat better poison ivy "                                                                                                                   
[31] " overacts terribly early establishing scenes character apparently rule batman series person becomes villain must cartoonish bumbling nerd "                      
[32] " thurman transforms ecopsychotic poison ivy nice mae west impersonation classic vamp can seduce men breath kill kiss "                                           
[33] "thurman fails maintain characters maniacal sense style though ends merely sputtering way latter scenes film "                                                    
[34] " biggest lesson learned batman robin better "                                                                                                                    
[35] "joel schumacher fills screen eye candy technicolor overkill merely emphasizes trifle film really "                                                               
[36] " critics suggest batman series run steam "                                                                                                                       
[37] " dont think "                                                                                                                                                    
[38] " prescription "                                                                                                                                                  
[39] "fire joel schumacher offer ticket rubber fetishists convention hell understand theres hard feelings "                                                            
[40] "give alicia silverstone walking papers keeping clooney odonnell michael gough "                                                                                  
[41] "call jack nicholson michelle pfieffer beg reprise roles joker catwoman "                                                                                         
[42] " ditch campiness love pete lose event mentality make movie instead spectacle next time "                                                                         
