 [1] "john carpenter makes bmovies "                                                                                                                                                                                                                                    
 [2] "always halloween escape new york thing looks live escape l vampires always will "                                                                                                                                                                                 
 [3] "carpenters latest horror opus science fiction bent science fiction outing schlock horror bent aptlytitled john carpenters ghosts mars case suppose went looking someone elses ghosts mars "                                                                       
 [4] "like films prefixed possessive john carpenters ghosts mars unashamed bmovie punctuated bmovie plot bmovie actors bmovie special effects "                                                                                                                         
 [5] " category one storyline borders idiotic times chaotic "                                                                                                                                                                                                           
 [6] "dormant martians e swirling red gases awakened meddling humans possess souls hapless mining colonists rendering testy marilyn manson lookalikes "                                                                                                                 
 [7] " explained flashback grand poohbah counsel martian police official melanie ballard natasha henstridge sub species films returnee sillylooking train "                                                                                                             
 [8] "officer ballard went bring back incarcerated felon james desolation williams found pretty picture "                                                                                                                                                               
 [9] " second category ms henstridge blonde hair pulled back tightly awkwardly ponytail ice cube appropriatelynamed desolation pam grier briefly oddlywho wanted work wonder host extras assuming story special effects going carry film therefore didnt need try hard "
[10] " category number three addition swirling red gases sillylooking train couple birdseyeview shots sprawling martian metropolis reddish also "                                                                                                                       
[11] "stateoftheart special effects never carpenter trademark writerdirector seems problem finding work however doesnt waste films budget department "                                                                                                                  
[12] " ghosts mars lock laughing stock barrel standard carpenter fare dingy interiors cluttered exteriors inane dialogue lots leather scarred crazedlooking aliens lots lots weaponry "                                                                                 
[13] " film often always explodes warfare without warningspontaneously stupidly "                                                                                                                                                                                       
[14] "carpenter might like think hes made western western without real heroes villains border conflicts "                                                                                                                                                               
[15] " just shootouts minus hissing snake plissken "                                                                                                                                                                                                                    
[16] " never thought id miss guy "                                                                                                                                                                                                                                      
[17] " however "                                                                                                                                                                                                                                                        
[18] "dubbed onenote wonder minimalist music soundtracks carpenter seems graduated simplistic yet effective scoring highlighting action loud screeching guitar work "                                                                                                   
[19] "fortunately drowns lot dialogue "                                                                                                                                                                                                                                 
[20] " final exchange henstridge er cube though audible priceless "                                                                                                                                                                                                     
[21] "mars proven infertile breeding ground hollywood last year stillborn mission mars red planet val kilmer "                                                                                                                                                          
[22] " ghosts mars sadly adds disappointing returns opening weekend overshadowed bunch sequels among american pie rush hour "                                                                                                                                           
[23] " irony mars carpenters film feels sadly absent "                                                                                                                                                                                                                  
[24] " occasional references red planet course film might well set perth amboys earths closest neighbor "                                                                                                                                                               
[25] "two things keep john carpenters ghosts mars getting huge slap upside head "                                                                                                                                                                                       
[26] " "                                                                                                                                                                                                                                                                
[27] "henstridge keeps top miraculously film doesnt pretend anything "                                                                                                                                                                                                  
[28] " means however fans superior intelligent grade scifihorror singularly luck "                                                                                                                                                                                      
