 [1] " kind movie makes one appreciate disneys live action george jungle "                                                                                           
 [2] "tarzan lost city latest attempt bring edgar rice burroughs legendary hero big screen one inept illtimed tarzan adventure far "                                 
 [3] "badly conceived poorly executed tarzan lost city appears headed quick trip video store shelves "                                                               
 [4] " idea producers chose now bring back tarzan legions new fans clamoring next movie "                                                                            
 [5] "furthermore even curious film rated pg definition rules sex explicit violence "                                                                                
 [6] " im advocating excesses embraced bo derek version story tarzan deserves slightly adult approach one used embarrassing production "                             
 [7] " course tweaking content change rating saved tarzan lost city since films troubles originated script propagated way line "                                     
 [8] "imagine george jungle stripped intentional humor fair idea tarzan like "                                                                                       
 [9] " uninspired action tepid adventure sequences film barely registers pulse "                                                                                     
[10] "anyone search relatively entertaining family jungle adventure check version jungle book uses basic elements much better effect "                               
[11] " worthwhile element tarzan lost city pretty scenery unfortunately includes two lead actors "                                                                   
[12] " film doesnt attempt retell origin story thinking done often enough "                                                                                          
[13] "instead tarzan lost city introduces us lord graystoke k john clayton k tarzan ape man casper van dien several days marriage lady jane porter jane march "      
[14] " living happily england enjoying benefits landowning noble "                                                                                                   
[15] "meanwhile central africa dastardly nigel ravens steven waddington selfproclaimed scholar explorer believes found way lost city opar calls cradle civilization "
[16] " way band mercenaries sorts nasty things like burning native villages earn wrath locals "                                                                      
[17] "one shaman determined stop ravens unearthing opal sends mystical message tarzan help "                                                                         
[18] " lady jane following close behind returns jungle born "                                                                                                        
[19] " patently obvious casper van dien one prettyboy heroes starship troopers hired basis acting ability "                                                          
[20] " plastic facial expressions monotone voice complete inability make convincing animal noises range rivals steven seagal "                                       
[21] " pecs however impressive director carl schenkel makes sure given every opportunity show "                                                                      
[22] "jane march hand keep shirt may first "                                                                                                                         
[23] " six years ago march give solid performance jean jacques annauds steamy lover "                                                                                
[24] "since made careerkilling decision appearing opposite bruce willis color night exploited every acting defiency "                                                
[25] "tarzan continues trend "                                                                                                                                       
[26] "march may attractive least judging performance cant act "                                                                                                      
[27] "meanwhile steven waddington serious trouble summoning menace necessary really detestable bad guy "                                                             
[28] "instead turns little nuisance "                                                                                                                                
[29] " story line pure formula largely true throughout years almost tarzan movies "                                                                                  
[30] " problem one seems childish lifeless "                                                                                                                         
[31] " romantic elements contrived fact lady janes presence necessary can captured subsequently rescued buff fiance "                                                
[32] " special effects truly bottomofthebarrel including laughably bad men ape costumes apparently animatronics expensive production "                               
[33] " course jungle movies obligatory cute animals "                                                                                                                
[34] " years legend tarzan one popular sources film series material "                                                                                                
[35] " famous ape man johnny weismuller less two dozen actors essayed part including gordon scott widely believed best actor tackle role "                           
[36] "weismuller made tarzan features van dien will probably fall short number "                                                                                     
[37] " seen tarzan lost city argue moviegoing public well served missed "                                                                                            
