 [1] "robin williams comedic genus "                                                                                                               
 [2] " one hes film allows space move "                                                                                                            
 [3] " flubber straps straitjacket covers duct tape stuffs coat closet piles furniture door make sure doesnt get "                                 
 [4] " remake absent minded professor disney offers us proof definitely less "                                                                     
 [5] "recycling old films darned cat dalmatians dressed new newest money machine home mouse roared "                                               
 [6] "professor phillip brainard williams terminally forgetful scientist teaching small college "                                                  
 [7] " fiancee sara jean reynolds marcia gay harden president college none happy hes left waiting altar due lack shortterm longterm memory "       
 [8] "shes giving one chance "                                                                                                                     
 [9] " blows chance invents flubber flying rubber excited discovery sara jean awaiting white dress "                                               
[10] " tardiness helped along jealous flying robotic assistant wants "                                                                             
[11] " bad news "                                                                                                                                  
[12] "flubber green jello can magnify reflect energy applied "                                                                                     
[13] "brainard realizes commercial potential within goo can save school bankruptcy taken towns evil industrialist charles hoenicker raymond barry "
[14] " hes busy new breakthrough slighted sweetheart wooed sleazy rival wilson croft christopher mcdonald "                                        
[15] "theres flying car flubberenhanced basketball game assortment broken lab equipment none least bit interesting funny "                         
[16] " one point son looked around audience asked people laughing "                                                                                
[17] "although williams turns one least inspired roles easily lively actors "                                                                      
[18] "everyone else comes across halfasleep "                                                                                                      
[19] " remake successful respect "                                                                                                                 
[20] " feels like bad disney movie sixties "                                                                                                       
[21] " remember original charming guess memory almost four decades ago artificially enhanced years "                                               
[22] " updates "                                                                                                                                   
[23] "fred macmurrays flying model t replaced tbird "                                                                                              
[24] " faithful dog charlie now weebo hovering robot "                                                                                             
[25] " biggest change sophisticated computer animation now can films show special effects without entertaining "                                   
[26] "flubber anthropomorphized supposedly personality "                                                                                           
[27] " gloop little arms legs splits tiny little gloopettes big dance number "                                                                     
[28] " nothing story "                                                                                                                             
[29] " possible reason create merchandising opportunities kids can badger parents taking mcdonalds toys "                                          
[30] " contributing little plot big problem "                                                                                                      
[31] " aspects film move story dont make sense "                                                                                                   
[32] " discovery flubber going save college brainard can sell flying car ford "                                                                    
[33] "anyone half brain able see intelligent flying automaton worth billions "                                                                     
[34] " unbelievable lover well probably lover disney starts dating croft aborted wedding "                                                         
[35] "theres one appealing component man "                                                                                                         
[36] " professor discovers smearing golf ball gunk causes bounce uncontrollably around lab wreaking havoc cringed picked bowling ball "            
[37] " guy beyond forgetful venturing certifiable "                                                                                                
[38] "cowriter john hughes used direct lightweight thoughtful teen films "                                                                         
[39] " care behind pretty pink breakfast club went window home alone franchise heated box offices "                                                
[40] "looking much like home alone flubber even features couple vapid goons get banged around cute little boy screams lot "                        
[41] " ways difficult judge film "                                                                                                                 
[42] " suspicion im target audience "                                                                                                              
[43] " measure age two digits "                                                                                                                    
