 [1] "maybe mission scrubbed "                                                                                                                           
 [2] "mission mars "                                                                                                                                     
 [3] " film review michael redman copyright michael redman "                                                                                             
 [4] "theres world difference artists technicians "                                                                                                      
 [5] " artist vision create something new "                                                                                                              
 [6] " may well might sloppy something youve never seen "                                                                                                
 [7] " good technician can make look good without direction inner artist someone else going just xerox "                                                 
 [8] "obviously successful films need skills "                                                                                                           
 [9] "brian de palma masterful technician "                                                                                                              
[10] "hes spent career copying others notably hitchcock "                                                                                                
[11] " usually knows exactly make scene work learned rote "                                                                                              
[12] "aside rare flashes originality films often souldead "                                                                                              
[13] " de palmas latest turns attention stanley kubrick "                                                                                                
[14] " tell truth enjoyed portions movie liked lot better years ago called "                                                                             
[15] " enjoyed even titled close encounters "                                                                                                            
[16] "nasa set sights mars "                                                                                                                             
[17] " first crew meets disaster rescue mission sent red planet "                                                                                        
[18] " dont well either eventually meet lone surviving astronautgonerasta solve mysteries universe "                                                     
[19] " boring "                                                                                                                                          
[20] " many scenes just dont work difficult begin "                                                                                                      
[21] " first crew feet away raging massive upsidedown martian tornado looks remarkably like sandworm dune destroying everything path just hang watching "
[22] "error "                                                                                                                                            
[23] " interesting character thats saying much killed "                                                                                                  
[24] "error "                                                                                                                                            
[25] " alien laughable "                                                                                                                                 
[26] "error "                                                                                                                                            
[27] " rest characters dullest people imaginable "                                                                                                       
[28] "error "                                                                                                                                            
[29] "theres nice eyecandy "                                                                                                                             
[30] " face mars turns giant metal thai buddha head looks cool "                                                                                         
[31] " threedimensional holographic planetarium fun watch anything disney world "                                                                        
[32] "maneuvering space suits outside ship seems realistic "                                                                                             
[33] " theres much feels weve "                                                                                                                          
[34] " theres rotating space station blinding white room "                                                                                               
[35] " close encounters solve sound puzzle play aliens "                                                                                                 
[36] " list goes "                                                                                                                                       
[37] " actors mostly mobile wooden statues "                                                                                                             
[38] "even gary sinise tim robbins cant muster enough emotion convince us breathing "                                                                    
[39] " one seems care anything happens "                                                                                                                 
[40] " wont either "                                                                                                                                     
[41] " absolutely worst sin blatant product placement dr pepper foot tall logo saves day "                                                               
[42] " save commercials insipid bits film "                                                                                                              
