 [1] "starship troopers bad movie "                                                                                                                                                   
 [2] " mean really really bad movie "                                                                                                                                                 
 [3] " cross line bad taste comes blood gore body parts shown screen blissfully jumps line apparently unaware movie trailers appeal audience five fifteen year olds saw many theatre "
 [4] "looking past appalling sight overdone violence left movie thin plot best strong lead characters blatant disregard physics obvious naziesque theme "                             
 [5] " said onto review movie starts propaganda message federation whos logo bears strong resemblance nazi german eagle urging populace go fight bugs attempting destroy earth "      
 [6] " film shows large rallies young children attendance pledging allegiance federation sound familiar "                                                                             
 [7] " movie progresses shown terror tactic training drill sargeant graphically compound fractures one recruits arm throws knife anothers hand "                                      
 [8] "eventually recruits embark journey location two thirds way across milky way galaxy fight bugs home planet "                                                                     
 [9] " faster light travelling heroes arrive planet drop onto planet burst craft brandishing "                                                                                        
[10] " "                                                                                                                                                                              
[11] " say laser beam weapons "                                                                                                                                                       
[12] "sonic weapons "                                                                                                                                                                 
[13] "phasers "                                                                                                                                                                       
[14] "photon cannons "                                                                                                                                                                
[15] "nope hop brandishing good old machine guns pump action rifles tactical nuclear weapons "                                                                                        
[16] " guess lot physics money rd went travel weaponry "                                                                                                                              
[17] " assault begins group troopers seen walking straight line box canyon "                                                                                                          
[18] "two members group notice rocks slipping falling one even sees streak fly disregards nothing "                                                                                   
[19] " course leads massive carnage blood shed graphic depictions limbs heads ripped severed bodies "                                                                                 
[20] " see military tactics future must evolved pace weapons "                                                                                                                        
[21] " end see neil patrick doogie howser harris burst onto scene accurately described nazi ss trenchcoat hat gloves "                                                                
[22] " vulcan mind meld giant slug proclaims bugs scared "                                                                                                                            
[23] " sets troopers frenzy now one step closer completing goal total genocide species sound familiar "                                                                               
[24] " tried hard step spoil plot review given nonexistence may anyway "                                                                                                              
[25] " go pages ripping movie apart dont want bore badly "                                                                                                                            
[26] " short felt subjected mix pronazi war film bugs substituted allies drivers education accident scene film complete blank screen plot course "                                    
[27] " wouldnt recommend movie anyone anywhere circumstance "                                                                                                                         
[28] "copyright c tim jandt "                                                                                                                                                         
