 [1] " dull perfunctory uninspired boring "                                                                                                                                              
 [2] " greater writer might created lyrical sentence adjectives flowing lovely arangements soaring metaphors "                                                                           
 [3] " however rather cut chase "                                                                                                                                                        
 [4] " dull perfunctory uninspired boring "                                                                                                                                              
 [5] " nothing glimpse depth shimmer intelligence insight "                                                                                                                              
 [6] " electricity scenes moment interest story subplots "                                                                                                                               
 [7] " underdeveloped features array bland characters played actors think theyre years boogie nights "                                                                                   
 [8] " wrong "                                                                                                                                                                           
 [9] " picture assembled mark christopher "                                                                                                                                              
[10] "based film dont know got job business "                                                                                                                                            
[11] " supposed amazing insight world dance club name originated s closed s "                                                                                                            
[12] " dont know film went production boogie nights released christopher managed plagiarize paul thomas andersons brilliant work every possible way framework plot style cinematography "
[13] " lacks everything made boogie nights great depth intelligence energy fascinating characters challenging themes "                                                                   
[14] " cant even measure last days disco flawed still smart entertaining "                                                                                                               
[15] " remarkably bad timing id say release film tedious couple noteworthy pictures kind "                                                                                               
[16] " exaggerated though one interesting character one terrific performance "                                                                                                           
[17] " character steve rubell played perceptiveness mike myers limp production deserves "                                                                                                
[18] "steve rubell owner studio christopher focused myers forced good film wreck "                                                                                                       
[19] "alas instead guided endure trials young man named shane ryan phillippe goingnowhere new jersey teen gets job club thanks rubells homosexual impulses "                             
[20] " meets friends array uninteresting characters coworker greg brecklin meyer wife anita salma hayek course love interest julie black neve campbell "                                 
[21] "shane just innocent young fool beginning reasonably sturdy home life "                                                                                                             
[22] " scenes father border interesting heather matarazzo plays sister pushes phillippe screen "                                                                                         
[23] " decides envelop disco scene succumb peer pressure drugs "                                                                                                                         
[24] " friends push drugs never really explained fact friends questioned superficial ways greg gets really mad shane hes elevated bartender status "                                     
[25] " isnt single conflict takes center stage except shane kind unexplored reservation business works "                                                                                 
[26] " film dumb dialogue inane "                                                                                                                                                        
[27] "theres scene late film shane confronts julie black next scene theyre arminarm without bit development "                                                                            
[28] " theyre kissing bowling alley "                                                                                                                                                    
[29] " five minutes material thrown picture last minute well past onehour mark isnt long film begin "                                                                                    
[30] "campbell talented actress needs role gives little depth "                                                                                                                          
[31] " one doesnt "                                                                                                                                                                      
[32] " phillippe almost presence whatsoever performance pales comparison mark whalbergs starmaking role boogie nights "                                                                  
[33] " seems dumb misguided voice never changes tone "                                                                                                                                   
[34] " guess picked color hair shape body seems pretty lanky "                                                                                                                           
[35] "hes wrong lead role doesnt help christopher forgotten develop characters "                                                                                                         
[36] " end shanes notable trait stupid fake accent "                                                                                                                                     
[37] " rest performances wasted "                                                                                                                                                        
[38] "hayek energetic talented young actress almost nothing "                                                                                                                            
[39] "meyer endearing allowed deeper cardboard "                                                                                                                                         
[40] " myers sheer force talent manages rise christophers wadingpool script "                                                                                                            
[41] "rubell written just depthless rest characters myers good enough inject subtleties help round performance "                                                                         
[42] " fact myers sole reason see really make wish film revolved around "                                                                                                                
[43] "ive read studio recreated last detail "                                                                                                                                            
[44] "frankly dont care "                                                                                                                                                                
[45] " easy recreate something technical like "                                                                                                                                          
[46] " fairly skilled production designer carpenters can manage task "                                                                                                                   
[47] "besides christopher keeps lights low sets invisible anyway "                                                                                                                       
[48] "aside myers performance complete failure "                                                                                                                                         
[49] " dull perfunctory uninspired boring "                                                                                                                                              
[50] " may find comparisons boogie nights unfair theyre obvious "                                                                                                                        
[51] " event pallid without contrast "                                                                                                                                                   
[52] " doesnt even work mindless entertainment shallow escapist viewers likely dismiss "                                                                                                 
[53] " dont forget key words dull perfunctory uninspired boring "                                                                                                                        
[54] "everything else said just padding "                                                                                                                                                
