 [1] " happy bastards quick movie review "                                                                                                                                                   
 [2] "damn yk bug "                                                                                                                                                                          
 [3] " got head start movie starring jamie lee curtis another baldwin brother william time story regarding crew tugboat comes across deserted russian tech ship strangeness kick power back "
 [4] "little know power within "                                                                                                                                                             
 [5] "going gore bringing action sequences virus still feels empty like movie going flash substance "                                                                                        
 [6] " dont know crew really middle nowhere dont know origin took ship just big pink flashy thing hit mir course dont know donald sutherland stumbling around drunkenly throughout "         
 [7] " just hey lets chase people around robots "                                                                                                                                            
 [8] " acting average even likes curtis "                                                                                                                                                    
 [9] "youre likely get kick work halloween h "                                                                                                                                               
[10] "sutherland wasted baldwin well hes acting like baldwin course "                                                                                                                        
[11] " real star stan winstons robot design schnazzy cgi occasional good gore shot like picking someones brain "                                                                             
[12] " robots body parts really turn heres movie "                                                                                                                                           
[13] "otherwise pretty much sunken ship movie "                                                                                                                                              
