 [1] "certainly one rent ed woods glen glenda "                                                                                                                                                                                                                                                             
 [2] "expecting see good movie screwy discourse transvestitism betrays level incompetence didnt know possible "                                                                                                                                                                                             
 [3] " fact woods infamous plan outer space actually seems pretty tame comparison "                                                                                                                                                                                                                         
 [4] "watching glen glenda "                                                                                                                                                                                                                                                                                
 [5] " found occasionally wondering wood originally made two three separate movies accidentally edited together result actually quite entertaining unintentionally hilarious "                                                                                                                              
 [6] " movie starts mostly seems like bad documentary endless repetitive narration transvestites difficult transvestite look girlfriends clothes without able wear transvestites necessarily homosexuals main character glenglenda reminds us probably half dozen times half man half woman man woman time "
 [7] " camera work terribleoccasionally camera lingers say closed door characters talk offscreen inexplicably zooms someones ear nose "                                                                                                                                                                     
 [8] "wood also makes copious use mostly irrelevant stock footage leads voicedover nonsequiturs like yes world busy frightening place many people driving automobiles "                                                                                                                                     
 [9] "finally occasional commentary bela lugosi sort omniscient seems inhabit frankensteinstyle laboratory delivering pointless lines people "                                                                                                                                                              
[10] " "                                                                                                                                                                                                                                                                                                    
[11] " "                                                                                                                                                                                                                                                                                                    
[12] " thoughts "                                                                                                                                                                                                                                                                                           
[13] " "                                                                                                                                                                                                                                                                                                    
[14] " "                                                                                                                                                                                                                                                                                                    
[15] " ideas "                                                                                                                                                                                                                                                                                              
[16] " "                                                                                                                                                                                                                                                                                                    
[17] " "                                                                                                                                                                                                                                                                                                    
[18] " "                                                                                                                                                                                                                                                                                                    
[19] " lightning crackles quasiominously overhead "                                                                                                                                                                                                                                                         
[20] " wood continued vein glen glenda "                                                                                                                                                                                                                                                                    
[21] "probably remembered nothing poorly done documentary occasional inappropriate horrormovie touch "                                                                                                                                                                                                      
[22] "unfortunately wanders far left field wonder eating funny mushrooms wrote script "                                                                                                                                                                                                                     
[23] " pull string "                                                                                                                                                                                                                                                                                        
[24] "pull string "                                                                                                                                                                                                                                                                                         
[25] "announces alarmed lugosi stock footage buffalo appears "                                                                                                                                                                                                                                              
[26] " another crash lightning lugosi returns time warning us beware "                                                                                                                                                                                                                                      
[27] " "                                                                                                                                                                                                                                                                                                    
[28] " "                                                                                                                                                                                                                                                                                                    
[29] "beware big green dragon lurks outside door "                                                                                                                                                                                                                                                          
[30] " "                                                                                                                                                                                                                                                                                                    
[31] " "                                                                                                                                                                                                                                                                                                    
[32] " "                                                                                                                                                                                                                                                                                                    
[33] " eats little boys "                                                                                                                                                                                                                                                                                   
[34] " "                                                                                                                                                                                                                                                                                                    
[35] " "                                                                                                                                                                                                                                                                                                    
[36] " puppy dogs tails "                                                                                                                                                                                                                                                                                   
[37] " "                                                                                                                                                                                                                                                                                                    
[38] " "                                                                                                                                                                                                                                                                                                    
[39] " big fat snails "                                                                                                                                                                                                                                                                                     
[40] " bizarre nightmare sequence probably meant symbolic instead just incredibly stupid ensues glenglenda finds fiance trapped fallen treein living room "                                                                                                                                                 
[41] "someone apparently intended sinister green dragon looks like klingon original star trek series appears orchestrating though film far clear point put kindly "                                                                                                                                         
[42] "near end sceneand must confess wood lost completelyis violent sexual encounter couch features two characters even appear rest movie scored goofily upbeat folk music "                                                                                                                                
[43] " scene ends moment soon glen glenda "                                                                                                                                                                                                                                                                 
[44] "returns documentary style point lingering sense wood slightest idea pretty much gone "                                                                                                                                                                                                                
[45] " film wanders dumb happy ending also seems abandon much trying say transvestitism point didnt matter much happened "                                                                                                                                                                                  
[46] " soon aforementioned sex scene glen glenda "                                                                                                                                                                                                                                                          
[47] " pretty much cemented place mind incoherent film ever seen "                                                                                                                                                                                                                                          
[48] " honestly think picked camcorder deliberately tried make worst movie possibly still might match glen glenda "                                                                                                                                                                                         
[49] " sheer cinematic disaster "                                                                                                                                                                                                                                                                           
[50] " giving movie f im sure quite justice "                                                                                                                                                                                                                                                               
