 [1] " appreciate didnt "                                                                                                                                                                                                     
 [2] "starring jet li bridget fonda tch ky karyo burt kwouk "                                                                                                                                                                 
 [3] "directed chris nahon "                                                                                                                                                                                                  
 [4] "rated r "                                                                                                                                                                                                               
 [5] " secret martial arts film often use plot simply get one action sequence another "                                                                                                                                       
 [6] " fight scenes enough justify paying admission problem jackie chan projects lot hong kong actioners "                                                                                                                    
 [7] " arent well bad shape "                                                                                                                                                                                                 
 [8] "kiss dragon jet lis second consecutive american misfire plays like one big miscalculation fails even rudimentary entertainment "                                                                                        
 [9] "now start getting emails angrily touting genius jet li let explain "                                                                                                                                                    
[10] "li spectacular ever dont think anyone ever dare call martialartsstar skills question "                                                                                                                                  
[11] " problem isnt movies tone "                                                                                                                                                                                             
[12] " much touted fightscenes filmed unflinching unrelenting brutality unpleasant watch "                                                                                                                                    
[13] "theyre joyless perfuctory lis rogue chinese detective killing machine hero terminator black belt instead metal skeleton "                                                                                               
[14] " even terminator judgement day sympathetic side "                                                                                                                                                                       
[15] " plot isnt relevant youre curious nonsense chinese law enforcement officer li sent paris investigate possible drug ring encounter corrupt chief police tcheky karyo kills people sinister things motivation whatsoever "
[16] "oh yeah lis character also acupuncture expert able ease pain andor kill touch needle "                                                                                                                                  
[17] " kiss dragon name acupuncture maneuver stick needle precise location back victims neck somehow redirecting bodys bloodflow brain killing poor sap less immediately "                                                    
[18] "theres vague attempt humanize li fall love downtrodden prostitute whose daughter held hostage reason villain "                                                                                                          
[19] " one worst love stories ever seen screen even worse one pearl harbor "                                                                                                                                                  
[20] "theres conviction whatsoever movie barely pays lip service someone apparently thought kind boymeetsgirl subplot "                                                                                                       
[21] "kiss dragon written luc besson whose screenplay messenger story joan arc films flaws least thoughtful "                                                                                                                 
[22] " dont know guy got involved train wreck perhaps wanted something mainstream neverending weirdness fifth element aforementioned stylized biopic "                                                                        
[23] " suppose call mainstream ill choose bizarre time day "                                                                                                                                                                  
[24] " action scenes movie going brutal instead dazzling need story justify watching "                                                                                                                                        
[25] " filmmakers behind kiss dragon rethought strategy "                                                                                                                                                                     
[26] " one will walk misbegotten project smiling hear rush hour coming just weeks "                                                                                                                                           
