 [1] " amazing comedian can funniest standup around completely fall flat movies "                                                                                                                  
 [2] "take adam sandler "                                                                                                                                                                          
 [3] " basis first two cds theyre gonna laugh "                                                                                                                                                    
 [4] " hell happened "                                                                                                                                                                             
 [5] "hes best thing hit comedy since robin williams "                                                                                                                                             
 [6] " put front camera just isnt "                                                                                                                                                                
 [7] " kind enjoyed happy gilmore thought warranted marginal recommendation latest film waterboy funny root canal "                                                                                
 [8] "seriously im willing wager laughs saving private ryan "                                                                                                                                      
 [9] " fact found movie depressing comedic "                                                                                                                                                       
[10] " first half hour generated one smile scenes emotional abuse towards adams character bobby boucher cruel football players also disturbed mother kathy bates world coming "                    
[11] "granted film gets rolling mild chuckles throughout im even willing admit actually laughing twice nearly enough sustain waterboy nearly hour half running time "                              
[12] "youre familiar plot youve seen least million times everyone picks hero shows hidden talent leads underdog team victory champions process winning respect teammates also getting woman loves "
[13] " believe im giving anything away saying sandlers team wins "                                                                                                                                 
[14] " actually feel degree suspense watching movie god "                                                                                                                                          
[15] " things keep bomb getting big banana winning performances henry winkler insecure coach severely underrated fairuza balk bobbys love interest "                                               
[16] " mean lending talents loftier purpose extremely well given "                                                                                                                                 
[17] "kudos "                                                                                                                                                                                      
[18] " advice adam try follow footsteps veteran comedians like williams steve martin made smooth successful transition stage screen "                                                              
[19] "rely actual comedy rather strange voices rude noises make people laugh "                                                                                                                     
[20] " maybe even show dramatic talent might like jim carrey recent truman show "                                                                                                                  
[21] " obvious considerable talent possesses just cant keep going like "                                                                                                                           
