 [1] " known damn known "                                                                                                                                                                                                                                                                                                              
 [2] "ewan mcgregor codename eye pointing hightech riflely gadget fat bald businessoriented american engaging illicit sexual activities window across street "                                                                                                                                                                         
 [3] " get requisite electrogreen throughthesight view "                                                                                                                                                                                                                                                                               
 [4] " audience seeing high tech riflely gadget course think eye going assassinate target instead pulls trigger rifle takes twenty hazy lowquality photographs eye proceeds fax email everyone targets office "                                                                                                                        
 [5] " right thirty seconds slightly befuddled seemingly pointless riflecamera still open minded "                                                                                                                                                                                                                                     
 [6] "maybe theres really good reason "                                                                                                                                                                                                                                                                                                
 [7] "ive got reason believe see admire lot ewan mcgregors previous work "                                                                                                                                                                                                                                                             
 [8] " hes obi wan ke frigginnobi gods sake "                                                                                                                                                                                                                                                                                          
 [9] " director stephan elliots last movie priscilla queen desert quirky little delight "                                                                                                                                                                                                                                              
[10] "theres genuine talent involved "                                                                                                                                                                                                                                                                                                 
[11] " think twenty minute mark still spark hope heart "                                                                                                                                                                                                                                                                               
[12] "eye assigned investigate leader organizations son still idea organization british intelligence "                                                                                                                                                                                                                                 
[13] "national spy ring "                                                                                                                                                                                                                                                                                                              
[14] "private investigation apparently stealing trust fund "                                                                                                                                                                                                                                                                           
[15] " received assignment k d "                                                                                                                                                                                                                                                                                                       
[16] "lang elaborate expensive teleconferencing briefcase "                                                                                                                                                                                                                                                                            
[17] " eye tracks target expensive looking secluded house witnesses mysterious beautiful woman ashley judd take knife proceed stab poor bastard "                                                                                                                                                                                      
[18] "ok thats odd think interesting "                                                                                                                                                                                                                                                                                                 
[19] " starts cry tears exclaims merry christmas dad "                                                                                                                                                                                                                                                                                 
[20] " first time "                                                                                                                                                                                                                                                                                                                    
[21] " begins tale obsession "                                                                                                                                                                                                                                                                                                         
[22] " something "                                                                                                                                                                                                                                                                                                                     
[23] " rest movie involves ewan mcgregors eye character following ashley judd around every corner united states totally completely obsessed woman afar "                                                                                                                                                                               
[24] "throughout entire professional life voyeur falls someone way can handle watch drool telescopes cameras "                                                                                                                                                                                                                         
[25] "fine thats lovely premise suppose "                                                                                                                                                                                                                                                                                              
[26] " gosh darn youre going go better sort explanation "                                                                                                                                                                                                                                                                              
[27] " thats precisely film fails "                                                                                                                                                                                                                                                                                                    
[28] " kind movie pisses "                                                                                                                                                                                                                                                                                                             
[29] " abortion collection halfformed wasted ideas amounts absolutely nothing end "                                                                                                                                                                                                                                                    
[30] " pretends something surreal deep psychological character study wrapped hightech thriller "                                                                                                                                                                                                                                       
[31] " filmmakers confused surreal deep vaguely unclear crammed full insultingly obvious metaphors "                                                                                                                                                                                                                                   
[32] " never even instant foggiest idea eye fall love woman changes wigs kills people "                                                                                                                                                                                                                                                
[33] " movie offers two explanations neither make lick sense "                                                                                                                                                                                                                                                                         
[34] "explanation number one obnoxious presence eyes imaginary daughter taken away wife time ago tells shouldnt leave ms judd "                                                                                                                                                                                                        
[35] "explanation two end film beaten heads imagery dialog even title movie beauty eye beholder "                                                                                                                                                                                                                                      
[36] "whoo hoo helps thanks bunch case closed "                                                                                                                                                                                                                                                                                        
[37] "thats deep gets folks "                                                                                                                                                                                                                                                                                                          
[38] " attempt explanation final minutes instead tying everything together ends profound clever sixthgrade mad lib "                                                                                                                                                                                                                   
[39] " secondary characters move picture serve little purpose except make audience wonder hell point "                                                                                                                                                                                                                                 
[40] " personal favorites include prisonmatron modeled austin powers frau farbissina apparently taught ms judd everything knows wearing wigs jason priestleys awfully played dirty desert vagrant tries emulate dennis hopper la blue velvet fails miserably copwhoseesashleyfleeinganaccidentsceneand thenwantstopayforsex butisshot "
[41] " one sad little parade little pointless last "                                                                                                                                                                                                                                                                                   
[42] " script pays attention laws time space "                                                                                                                                                                                                                                                                                         
[43] " time one frequent location changes occurs camera zooms souvenir snow globe minutes weeks years passed "                                                                                                                                                                                                                         
[44] "bewilderingly inane stylistic decisions plague whole affair one character passes glass cognac another slowmotion closeup awash lot bass "                                                                                                                                                                                        
[45] "ewan mcgregor one point takes residence bell tower just repeatedly awakened deafened giant bell "                                                                                                                                                                                                                                
[46] "jason priestly starts philosophizing sharks laughs maniacally "                                                                                                                                                                                                                                                                  
[47] "cut random guy eye patch "                                                                                                                                                                                                                                                                                                       
[48] "iguana focus "                                                                                                                                                                                                                                                                                                                   
[49] "iguana comes focus "                                                                                                                                                                                                                                                                                                             
[50] "wow man "                                                                                                                                                                                                                                                                                                                        
[51] " found afterward film based novel came surprise "                                                                                                                                                                                                                                                                                
[52] " plenty elements extended fleshed made decent story "                                                                                                                                                                                                                                                                            
[53] " wouldnt surprised found hour half footage cut movie lying landfill somewhere waiting wings dvd special directors cut "                                                                                                                                                                                                          
[54] " anything ever possess purchase thing find missing "                                                                                                                                                                                                                                                                             
[55] " last ten minutes featured conversation eye judd supposed sort revealing exposition "                                                                                                                                                                                                                                            
[56] " guy back theater talking cell phone time didnt particularly care much happening screen steaming pile unholy crap audience around chuckled whispered sentiments similar thinking "                                                                                                                                               
[57] "someone near cellphoneguy eventually yell shut hell lot funnier thought talking screen "                                                                                                                                                                                                                                         
