 [1] " intimate characterdriven drama troubled youth crossroads life read press notes reachtherock "                                                                                    
 [2] "im really sure film statement describing words bear little resemblance slow completely uninvolving bore sawat least certainly describe goes film "                                
 [3] "alessandro nivola plays robin fleming troubled directionless yearold penchant breaking storefront windows small town "                                                            
 [4] "police sergeant phil quinn william sadler takes ensues first minutes tedious series sneakouts sneakins robin slips jail cell breaks window returns without quinn ever noticing "  
 [5] "also added pointless proceedings wouldbe humorous shenanigans involving quinns dimwitted deputy ernie attempting engage clandestine patrol car sex girlfriend donna karen sillas "
 [6] " half hour even long remaining director william ryan writer john hughes yes john hughes s youth films homealone finally approach something close point "                          
 [7] "turns robin still pines high school sweetheart lise brooke langton long gone life hughess main concern long last reveals tired live present future message "                      
 [8] " moviegoers however will likely asleep time "                                                                                                                                     
 [9] "wide awake however cast individually tackle showcase dramatic scenes energy skillthus revealing real purpose behind listless enterprise serve series acting exercises "           
[10] " glorified workshop may rewards actors leaves audiences booby prize "                                                                                                             
[11] " opens october "                                                                                                                                                                  
