 [1] "even best comic actor mercy material subpar submarine comedy proves "                                                                                                                                                                      
 [2] " periscope stars kelsey frasier grammer inept navy captain given command ship part corrupt officers james coburn plan get navy "                                                                                                           
 [3] "like lame emsemble comedy officer assigns group misfits like guy wants kicked fat guy eats time beautiful woman doesnt belong lauren holly secondincommand everything book rob schneider crazy old guy freaks everyone harry dean stanton "
 [4] " comes transparent plotline "                                                                                                                                                                                                              
 [5] "first grammer fix delapidated korean war ship navy given comes courtesy sad sight gag montage includes guy mop knocking schneider overboard "                                                                                              
 [6] " ship fixed come early drills everyone seems completely inept like electrician cant connect wires instead lets current run every time grammer gets phone "                                                                                 
 [7] "finally covers final hour movie grammer lead men holly overcome ships wargames exercise "                                                                                                                                                  
 [8] " clever rebel scenes stretch levels believability "                                                                                                                                                                                        
 [9] "first theyre singing louie louie like bunch drunk sailors throw radar ship thirty minutes later theyre making whale mating noises throw radar ship "                                                                                       
[10] " whole evil captain coburn overacting underwater cursing grammer people watching movie probably "                                                                                                                                          
[11] " predictable without original humor redeem "                                                                                                                                                                                               
[12] " jokes right mchales navy cutrate sitcoms past "                                                                                                                                                                                           
[13] "theres one scene schneider looks ships pantry disgust holds one food can announces expired "                                                                                                                                               
[14] " yelled back screen jokes "                                                                                                                                                                                                                
[15] " watched movie whole family everyone hated "                                                                                                                                                                                               
[16] " mom bored brought coupon book midway around start second hour started writing will "                                                                                                                                                      
[17] " blame cant really placed stars though "                                                                                                                                                                                                   
[18] "kelsey grammer good just doesnt anything work "                                                                                                                                                                                            
[19] " character said gotten drunk one night welcome aboard tatooed penis "                                                                                                                                                                      
[20] "grammer probably something even worse got really drunk agreed appear movie knew nothing "                                                                                                                                                  
[21] " holley save penis part likeable periscope just shes gorgeous "                                                                                                                                                                            
[22] " schneider whose character downright annoying nowhere go surf ninjas although hes still depths comedy ocean jumping snl ship "                                                                                                             
[23] " theory periscope one movies got green light script even written formula comedy okay police academy navy frasier helm chick dumb dumber everyone signed turned disaster "                                                                  
[24] "judging video box movie critics agree "                                                                                                                                                                                                    
[25] " quote periscope copy writers dig came prevue channels jim ferguson "                                                                                                                                                                      
[26] " guess even jeff craig second preview said tank girl kicks butt "                                                                                                                                                                          
[27] "without ever seeing didnt like "                                                                                                                                                                                                           
