 [1] " mercury rising numerous flaws one really stands central plot device unnecessary "                                                                                                                   
 [2] "thats right "                                                                                                                                                                                        
 [3] " major aspect film supposed make different routine government conspiracy action flicks dropped beginning movie turn exactly better "                                                                 
 [4] " central device fact nineyearold boy autistic "                                                                                                                                                      
 [5] " name simon evil government bureaucrat named nicholas kudrow alec baldwin wants dead unknowingly cracked supersecret government code slipped back puzzle magazine programmers just see someone beat "
 [6] "simon intended heart soul film supposed feel poor handicapped child thrown violent unfair world will renegade fbi agent played bruce willis protect "                                                
 [7] " fact autistic nothing emotional intensity plot necessities mercury rising "                                                                                                                         
 [8] " suppose original novel upon movie based much aspect simons character relationship willis lost "                                                                                                     
 [9] "miko hughes young actor plays simon goes prescribed motions autistic walks slowly drawls words kicks screams hes touched hard time looking people "                                                  
[10] " difficult role adult much less young child play unfortunately hughes never convinces us isnt playing like hes autistic "                                                                            
[11] "unlike dustin hoffmans performance rain man leonardo dicaprios whats eating gilbert grape always painfully aware hughes acting "                                                                     
[12] "however unlike rain man used characters autism unique interesting ways build credible touching story mercury rising go right generic predictable plot simon simply really smart really shy kid "     
[13] "hell doesnt even shy "                                                                                                                                                                               
[14] " fact movie might interesting active role rather just carted around willis arm "                                                                                                                     
[15] "willis character art jeffries disillusioned fbi agent removed undercover work now menial tasks like listening wiretaps rookies happy anything "                                                      
[16] " becomes involved simon called check murder scene simons house father apparently shot mother back committed suicide "                                                                                
[17] " course know isnt way happened happen saw evil squarejawed government hitman meanlooking crewcut knock parents "                                                                                     
[18] "simon able get away jeffries finds hiding secret compartment closet rest chicago police department overlooked "                                                                                      
[19] "jeffries accused several characters different times paranoid although actions never suggest knows something makes personal mission go everything everyone order protect simon "                      
[20] " quite task hitman knocked simons parents crawling everywhere attempting kill simon hospital highway every place goes "                                                                              
[21] "late movie jeffries forced enlist aid pretty young woman named stacey kim dickens meets coffee shop "                                                                                                
[22] " hardtobelieve aspects movie worst "                                                                                                                                                                 
[23] " can believe decency human heart staceys character far accommodating "                                                                                                                               
[24] " agree watch simon jeffries runs solve mystery lets apartment two oclock morning knows police lets leave simon apartment means forgo business trip desperately needed pay rent "                     
[25] " grinding squeals rusty plot machine almost overbearing point "                                                                                                                                      
[26] " movie might redeemed good action sequences even mercury rising doesnt rise challenge "                                                                                                              
[27] " movie directed harold becker made good suspense films including sea love malice talent nowhere found latest excursion "                                                                             
[28] " one fight streetcar jeffries another hitman played peter stormare ineptly directed shot edited idea exactly streetcar hitting hitman came knew jeffries simon "                                     
[29] " grand finale takes place roof tall building features harrowing yawn scene simon walks along edge building suspenseful way "                                                                         
[30] "taken whole mercury rising tepid confused movie lacks style wit traces sense humor "                                                                                                                 
[31] "usually willis brings personal brand understated humor roles straight serious "                                                                                                                      
[32] " movie wants action flick heartfelt drama time ends failing fronts "                                                                                                                                 
[33] "maybe book better way handled perfect case study formula filmmaking guaranteed bore "                                                                                                                
