 [1] " spy game "                                                                                                                                                                                                                                                                              
 [2] " can thank charlies angels movie "                                                                                                                                                                                                                                                       
 [3] " banality pandering become okay "                                                                                                                                                                                                                                                        
 [4] "just steal hong kong matrix kitschy tv show mids thats movie "                                                                                                                                                                                                                           
 [5] "charlies angels one worst examples action film homogeneity shameless duplicity film ive seen ages "                                                                                                                                                                                      
 [6] "charlies angels dumb "                                                                                                                                                                                                                                                                   
 [7] "just plain dumb "                                                                                                                                                                                                                                                                        
 [8] " know three hottest females planet drew barrymore cameron diaz lucy liu three superagents working mysterious millionaire named charlie "                                                                                                                                                 
 [9] " drive fast cars look ohsofabulous even morning dont seem get scratch even fighting armed men buildings explode ten feet front flying air matrix slowmotion "                                                                                                                            
[10] " entourage spends minutes romping around cleavagebusting wetsuits cleavagebusting waitress uniforms cleavagebusting wet tshirts scarcely succeed resembling much group annoying drunk sorority girls kind hit everybody party "                                                          
[11] " actual plot revolves around ridiculous story millionaire computer engineer great sam rockwell gets kidnapped mysterious rival computer company "                                                                                                                                        
[12] " course rival wants control new personal identification system involves latterday buzzwords gps cellular tracking even mainframe "                                                                                                                                                       
[13] " amazing crispin glover lends acting chops crazed henchmen involved nasty things happen angels like battling many roundrobin matrix ripoff fight sequences harboring strange attraction slicedoff locks angels hair "                                                                    
[14] " coup de grace bill murray bosley serving charlies manservant point angels pimp "                                                                                                                                                                                                        
[15] " rest movie comprises revenge arc enough costume changes fill three productions les miserables carboncopy fight sequences lend credible evidence jackie chan wachowski brothers lawsuit intellectual property theft strange transformation sam rockwell mickey rourkes longlost brother "
[16] "charlies angels starts bang ends soggy burrito left overnight "                                                                                                                                                                                                                          
[17] "nothing difficult plausible believable angels actions "                                                                                                                                                                                                                                  
[18] " feels like matrix mission impossible cleopatra jones casino gold rolled one "                                                                                                                                                                                                           
[19] "diaz knucklehead "                                                                                                                                                                                                                                                                       
[20] "barrymore dangerous one mean tough believable katie holmes role "                                                                                                                                                                                                                        
[21] "liu just "                                                                                                                                                                                                                                                                               
[22] "lucy liu looking good skintight black leather suit "                                                                                                                                                                                                                                     
[23] " list movies charlies angels directly lifted equally astonishing "                                                                                                                                                                                                                       
[24] " writers apparently ran copier night stealing scenes armageddon lethal weapon ii jackie chans movies great escape saturday night fever revenge nerds payback darkman dr matrix mentioned even tvs friends "                                                                              
[25] " shame one many screenwriters john august helm last years favorite go "                                                                                                                                                                                                                  
[26] " can expect director known solely mcg "                                                                                                                                                                                                                                                  
[27] " camp value film interesting main characters invigorating action scenes reason waste time except ogle hot chicks enjoy performances supporting players "                                                                                                                                 
[28] "note hollywood next time lets leave tv shows tv "                                                                                                                                                                                                                                        
