 [1] " obvious reason producing sequel immensely popular movie acquire continued profits "                                                                                  
 [2] " rationale sound many cases recent years sequel shoddy product thats exposed cashmilking vehicle really "                                                             
 [3] "last years speed scream well years species ii products decisively less satisfactory "                                                                                 
 [4] " cases sequel can even discredit predecessor latest neoslasher flick still know last summer "                                                                         
 [5] "whatever uniqueness original mightve now seems trite overplayed paired abominable thriller "                                                                          
 [6] "julie james jennifer love hewitt ray bronson freddie prinze jr back original star still know reprising roles typical fashion "                                        
 [7] "julie ray experience rather predictable fallingout beginning movie leaving door wide open newcomer will benson matthew settle "                                       
 [8] "will julie hit along friends karla brandy norwood tyrell mekhi phifer foursome heads radio stationgiveaway vacation tropics "                                         
 [9] "unfortunately things arent peachy arrive regularity set watch infamous fisherman muse watson back hook "                                                              
[10] " another bloody showdown complete cliffhanger ending "                                                                                                                
[11] "theres much thats original still know market saturated genx thrillers like one unlikely still know will get recognition bad sequel "                                  
[12] " diehard fans genre will required viewing material bottom line material just recycled original know last summer "                                                     
[13] " aura thrillerism surrounding plot isnt heightened skillful scripting camera work rather tense stringbased score manipulative editing "                               
[14] " man hook ends becoming belittled time around script gives many lines dialogue goes scary figure nutcase short painful moments "                                      
[15] "much mystery dropped sake getting point "                                                                                                                             
[16] " whole reason plot exists julie karla must guess capital brazil order win trip radio station dead giveaway lessening suspense creating hurryupandwait timing problem "
[17] " whereas killers identity mightve question first movie almost given changes dynamic movie drastically "                                                               
[18] "three four teens run automatically man rain slicker nonchalantly refer killer "                                                                                       
[19] "theyre almost used performances show hewitt prinze brandy phifer give decent show "                                                                                   
[20] " end left wide open third movie likely brand new supporting cast "                                                                                                    
[21] "god help us "                                                                                                                                                         
