 [1] "carry convenience goingson factory toilet manufacturer wc boggs kenneth williams "                                                                                                                                                                       
 [2] " won order manufacture bidets two months charles coote charles hawtrey designed suitable model factory employees set work interrupted union representative vic spanner kenneth cope friend bernie hulke bernard bresslaw call strikes slightest pretext "
 [3] "meanwhile chief foreman sid plummer sid james growing tired wife beattie hattie jacques budgie "                                                                                                                                                         
 [4] " much rather live next door fellow boggs worker chloe moore joan sims discovers budgie can predict winners horse races moon flush money "                                                                                                                
 [5] " daughter myrtle plummer jacki piper going wcs son lewis boggs richard ocallaghan causes conflict staff day seaside vic spanner vies attentions "                                                                                                        
 [6] " end strike cease boggs will close factory support group women led cootes wifetobe spanners mother agatha spanner renee houston try resolve situation "                                                                                                  
 [7] "also sid realises budgie caused nothing trouble since started predicting horse race winners "                                                                                                                                                            
 [8] " good performances usual sid james kenneth williams standard roles "                                                                                                                                                                                     
 [9] "charles hawtrey third billing appears scenes "                                                                                                                                                                                                           
[10] " part mildly amusing "                                                                                                                                                                                                                                   
[11] "richard ocallaghan appealing boggs stuckup son patsy rowlands funny miss withering boggs assistant renee houston terrific small part agatha "                                                                                                            
[12] "however sole acting honours go hattie jacques beattie plummer "                                                                                                                                                                                          
[13] "although character directly involved main storyline manages input great deal pathos feeling character "                                                                                                                                                  
[14] " marvellous performance marvellous actress "                                                                                                                                                                                                             
[15] " film suffers annoying performances bernard bresslaw especially kenneth cope "                                                                                                                                                                           
[16] " carry debut cope overdoes role spanner making annoying unfunny "                                                                                                                                                                                        
[17] "joan sims returns love interest instead barbara windsor "                                                                                                                                                                                                
[18] "sims usual part downtrodden wife taken hattie jacques "                                                                                                                                                                                                  
[19] "additionally bill maynard fred moore poor "                                                                                                                                                                                                              
[20] " carry movie tries best entertain viewer locations wealth characters appealing "                                                                                                                                                                         
[21] "however toilet humour becomes tiresome quickly performances leave lot desired "                                                                                                                                                                          
[22] " movie know going "                                                                                                                                                                                                                                      
[23] " made talbot rothwell scriptwriter seems two minds whether go bluer jokes maintain innocent jokes success predecessors "                                                                                                                                 
[24] " film suffers "                                                                                                                                                                                                                                          
[25] " minor carry film whose major asset performance hattie jacques "                                                                                                                                                                                         
[26] " new minorregulars ocallaghan piper able enliven movie toilet humour becomes humourless "                                                                                                                                                                
