 [1] " come silent bob "                                                                                                                                                                            
 [2] " going hollywood "                                                                                                                                                                            
 [3] "starring jason mewes kevin smith will ferrell shannon elizabeth seann william scott chris rock jason lee ben affleck "                                                                        
 [4] "directed kevin smith "                                                                                                                                                                        
 [5] "rated r "                                                                                                                                                                                     
 [6] "jay silent bob strike back dumb movie disguised smarmy interior "                                                                                                                             
 [7] "kevin smith coming wonderful challenging dogma fills subroad trip grossout jokes expects us buy hes just ohsoironic "                                                                         
 [8] " movie selfaware becomes nothing can hardly expected pay admission "                                                                                                                          
 [9] "jay silent bob two new jersey stoners hang doorstep convenience store selling pot appeared almost smiths movies im mistaken starred one now "                                                 
[10] " find movie based comic book based made hollywood "                                                                                                                                           
[11] " presents two problems havent received penny royalties b nerds internet whats internet "                                                                                                      
[12] " talking trash "                                                                                                                                                                              
[13] " except go hollywood stop movie made "                                                                                                                                                        
[14] " way theyre hitchhiking knew needed tickets take bus "                                                                                                                                        
[15] " run group hotties pretend animalrights group really jewel thiefs parade around charlies angelsstyle outfits "                                                                                
[16] " course set jay silent bob look like thieves massive manhunt going second half film "                                                                                                         
[17] "will ferrell proves incapable anything sketch comedy shows wildlife marshal inspector thinks two stolen monkey "                                                                              
[18] " movie will probably please smiths diehard undiscerning fans everyone else will critical mindbogglingly stupid effort following sophisticated cinema churned years past "                     
[19] " appeal movie will come jokes think understood movie point absurdity "                                                                                                                        
[20] " needs something holding together smugness "                                                                                                                                                  
[21] " jay silent bob get hollywood movie abruptly switches gears grossout comedy ridiculously broad hollywood satire "                                                                             
[22] "countless hot movie stars personalities make appearance smith veterans matt damon ben affleck wes craven jay silent bob strike back resorts lowbrow gags another scream sequel monkey killer "
[23] "get "                                                                                                                                                                                         
[24] "theyre desperate another movie ran ideas used monkey "                                                                                                                                        
[25] " monkey "                                                                                                                                                                                     
[26] " often happens writers working actually capable really good lines throwaways big painstaking gags mostly fall flat "                                                                          
[27] "one funniest lines movie flies asked comment clitoris dont ask jay responds female clitoris "                                                                                                 
[28] "kevin smith talented writer though agree films better hed let real director take helm jay silent bob strike back holds true promise make facetious film "                                     
[29] "unfortunately also shapeless pointless largely unfunny "                                                                                                                                      
[30] "smiths verbal trampoline ben affleck called distinctive dialogue takes back seat dubious instincts populist filmmaker "                                                                       
[31] " supposed movie didnt offend anyone offensive terrible "                                                                                                                                      
