 [1] " movies just skip "                                                                                                                                                             
 [2] " daughter really vile time favorite martian weeks back comes another disney effectsfilled liveaction flick based old tv program "                                               
 [3] "true probgram years old time cartoon "                                                                                                                                          
 [4] " cartoon liked understandably reluctant see disney done big screen "                                                                                                            
 [5] " daughter really wanted go bad "                                                                                                                                                
 [6] "turns right mostly "                                                                                                                                                            
 [7] "inspector gadget oddly enough follows almost exactly format favorite martian jivetalking sidekick "                                                                             
 [8] " first thought done people imdb informs ig directed david kellogg written dana olsen kerry ehrin mfm directed donald petrie written sherri stoner deanna oliver "               
 [9] " odd similarity two movies may best explained studio produced formula isnt just business way life "                                                                             
[10] " producers obviously micromanaged two projects get prominant screen credits "                                                                                                   
[11] " parts can just hear saying zany "                                                                                                                                              
[12] " want zany "                                                                                                                                                                    
[13] " lets really painful sexual reference reason right make really painful "                                                                                                        
[14] " want audience squirming seats "                                                                                                                                                
[15] " ok thats fine want add bug guts "                                                                                                                                              
[16] " scene "                                                                                                                                                                        
[17] "character depth "                                                                                                                                                               
[18] " wheres zaniness "                                                                                                                                                              
[19] " dont see zany "                                                                                                                                                                
[20] " cant make zany cut "                                                                                                                                                           
[21] " latter explanation can come absence thoroughly charming michelle trachtenberg movie "                                                                                          
[22] "michelle plays penny gadgets niece shines every scene shes unfortunately gets nine minutes screen time "                                                                        
[23] " guess rest cutting room floor "                                                                                                                                                
[24] "dabney colemans comedic talents utterly wasted chief quimby "                                                                                                                   
[25] " kept expecting say something really funny somehow save film instead best can really poor lines unexceptional scenes "                                                          
[26] " thoroughly upstaged cheri oteri gidget bitch hell town mayor "                                                                                                                 
[27] "oteris overly enthusiastic continually selfcongratulatory speech patterns mannerisms much like portland oregons manic mayor vera katz wonder studio wasnt poking fun fair town "
[28] " maybe career politicians like "                                                                                                                                                
[29] " must say matthew broderick stroll inspector gadget godzilla "                                                                                                                  
[30] " appears fun film especially evil gadget "                                                                                                                                      
[31] "rupert everett entertaining maniacle claw "                                                                                                                                     
[32] "joely fisher fine zany scientist even better zany carbon copy "                                                                                                                 
[33] " performance one things worth watching film "                                                                                                                                   
[34] "d l hughley plays shuckinandjivin vehicular sidekick role firmly sets emancipation back years "                                                                                 
[35] " dialog lets face pretty bad "                                                                                                                                                  
[36] " tagline major setpiece battle faux pas makes sense context "                                                                                                                   
[37] " lot lines especially hughleys appear made go along people little gift adlib "                                                                                                  
[38] " threequarters film somewhat unnecessary origin story gadget claw "                                                                                                             
[39] "gadget spends latter third movie trying locate claw various altercations really battles evil gadget "                                                                           
[40] "penny minute half detective work character every week cartoon "                                                                                                                 
[41] "let rage just minute "                                                                                                                                                          
[42] "michelle trachtenberg excellent choice penny character "                                                                                                                        
[43] "shes utterly charming excellent experience harriet spy part pintsize detective "                                                                                                
[44] " underutilized film real mystery "                                                                                                                                              
[45] " film loses star casting brilliance coupled scripting editing stupidity "                                                                                                       
[46] "inspector gadget missing long long stretches potty humor among things made favorite martian unbearable short movie perhaps something cut last moment "                          
[47] "probably best scenes film occur end credits "                                                                                                                                   
[48] " evil sidekick support group especially worth seeing amazing number cameo appearances seconds onscreen "                                                                        
[49] " another bad live action film premere studio bad live action films "                                                                                                            
[50] " wonder disney uses revenues generally moneymaking cartoons produce losers "                                                                                                    
[51] " true "                                                                                                                                                                         
[52] " theyre trying another mary poppins need find team can produce one give chance "                                                                                                
