 [1] " rule comes movies "                                                                                                                                                  
 [2] " sequel never good original "                                                                                                                                         
 [3] " exceptions rule texas chainsaw massacre next generation one "                                                                                                        
 [4] "now also take consideration original chainsaw massacre really bad movie isnt even first sequel recipe painful viewing experience "                                    
 [5] "dont fooled presence coming talents matthew mcconaughey time kill renee zellweger jerry maguire "                                                                     
 [6] " made movie stars "                                                                                                                                                   
 [7] "judging performances also made took acting lessons "                                                                                                                  
 [8] " wonder ever worked hollywood appearing turkey "                                                                                                                      
 [9] "apparently producers film realized just bad sat unreleased years someone decided might able capitalize success mcconaughey zellweger "                                
[10] "apparently two young stars none happy thing ever seeing light day "                                                                                                   
[11] " dont blame better sort porno flick starring two "                                                                                                                    
[12] "unfortunately horror film zellweger plays typically stupid horror film character "                                                                                    
[13] " mcconaughey plays guy wears mechanical brace leg controls television remote control "                                                                                
[14] " hey dont say didnt warn "                                                                                                                                            
[15] " make matters worse leatherface chainsaw wielding maniac never scariest psychopathic killers best times now become full blown crossdresser spends entire movie drag " 
[16] " plot movie isnt worth mentioning "                                                                                                                                   
[17] "lets just suffice say group teenagers typical wrong place wrong time left mercy remote control man mcconaughey lipstick wearing chainsaw revving halfwitted sidekick "
[18] "man cant get just bad movie "                                                                                                                                         
[19] " film absolutely redeeming qualities "                                                                                                                                
[20] "even obligatory topless babe shot wasnt enough hold interest seconds "                                                                                                
[21] " writing bad direction even worse things look good comparison acting "                                                                                                
[22] " sort movie make people prison watch "                                                                                                                                
[23] " guarantee criminals thought subjected film never break law "                                                                                                         
