 [1] " know movie issues everyone audience comes laughing "                                                                                                                   
 [2] " comedy "                                                                                                                                                               
 [3] " strange career path director chuck russell "                                                                                                                           
 [4] " starts career decent take nightmare elm street series debut director installment number three "                                                                        
 [5] " follows blob next year waits another six years next piece little film called mask starring jim carrey one star vehicle eraser two years "                              
 [6] " thought let wait another five years get weak script jammed cliches hope jimmy smits kim basinger pull ashes "                                                          
 [7] "strange dude one crappy flick "                                                                                                                                         
 [8] "plot sixyear old girl believed kind mysterious prophet sent god "                                                                                                       
 [9] " satanic cult wants girl switch side girls aunt wants well "                                                                                                            
[10] "save damn devil worshippers "                                                                                                                                           
[11] "enter one occult expert agent plenty bobo cops lots nuns praying youve just got gist things "                                                                           
[12] "critique plot holes size ass movie barely squeezes sense clich ridden plot wasted talent cheezy effects bad dialogue unintentional laughs boot "                        
[13] "whats good movie "                                                                                                                                                      
[14] "well rufus sewell pretty fun watch head creepy runaway childrens sheltersatanist supreme seriously wicked eyes just enough ham performance go cheese lying around "     
[15] " little girl also pretty good unfortunately character doesnt really much "                                                                                              
[16] " believe actually enjoying films first half hour starts promise bonehead moves bonehead moves protagonist basinger just drown films entire basis believability "        
[17] " reason takes time anyone figure niece gifted even longer figure every move makes "                                                                                     
[18] " dumb one "                                                                                                                                                             
[19] "add entire police force incompetents save jimmy smits whose talent agent advised playing exact cop character nypd blue good career move "                               
[20] " least change clothes jimmy zero scares zero thrills even less actual drama youve got pretty bad movie "                                                                
[21] " respected actors like christina ricci ian holm take bit parts movie "                                                                                                  
[22] " owe director favor something "                                                                                                                                         
[23] "together barely five minutes screen time suppose riccis hospital room scene might worth look horndogs "                                                                 
[24] " worst part movie hilariously unbelievable ending features police officers coming brilliant idea sneaking mans house know guilty crime "                                
[25] "uuuhmm hows "                                                                                                                                                           
[26] " knocking door arresting sorry ass officers "                                                                                                                           
[27] "anyway dont usually inscribe spoilers reviews stupidity characters just difficult describe without validating solid idiotic proof plenty go around "                    
[28] " basinger lose acting talent hiatus profession oscar win "                                                                                                              
[29] "difficult say lines really bad just delivered poorly "                                                                                                                  
[30] "either way little originality obvious computer effects little thrills little drama little entertainment value certainly bestow honor one worst movies summer upon film "
[31] " really dont mind rehashed gobbledygook various satanic kid based thrillers enjoy watching films dont bring anything new table well "                                   
[32] "drink beers smoke beans rent video may just one funnier thrillers year "                                                                                                
