 [1] "can say dated "                                                                                                                                                
 [2] " can youve seen rosemarys baby like exorcist thrilling horror film time seems boring laughable decades passed since original release "                         
 [3] " mystery science theater skewered bad films past let tell number good ones "                                                                                   
 [4] "rosemarys baby stars mia farrow time actually goodlooking innocent housewife notsoinnocent husband john cassavettes actor takes easy albeit evil road success "
 [5] " seems harmless beginning "                                                                                                                                    
 [6] "mia john move apartment several past murders committed "                                                                                                       
 [7] " theres also skull living room decoration "                                                                                                                    
 [8] " elderly neighbors pop housewarming "                                                                                                                          
 [9] "alls well first hour slowmoving film mia eats neighbors chocolate mousse passes "                                                                              
[10] " comes finds darkened room bunch people yelling dancing like savages big evil man raping foreshadowing future life woody allen "                               
[11] " seems like dream finds pregnant almost forgets "                                                                                                              
[12] " everyones helping pregnancy "                                                                                                                                 
[13] " neighbors wonderful vitamin potions drink goodluck charm wear around neck name obstetrician whos business "                                                   
[14] "years "                                                                                                                                                        
[15] "meanwhile mia begins chronic stomach pains losing lot weight "                                                                                                 
[16] " long looks just like lead singer cranberries "                                                                                                                
[17] "thats know healths failing "                                                                                                                                   
[18] " person movie whos least bit suspicious old friend maurice evans calls mia give bad news immediately falls coma "                                              
[19] " twohour mark felt way "                                                                                                                                       
[20] "rosemarys baby way long leads payoff thats boring laughable rest movie "                                                                                       
[21] " guess someone put spell movie "                                                                                                                               
