 [1] "welcome ohso typical sequel "                                                                                                                                                                       
 [2] " tries twice big predecessor yet ends twice shallow "                                                                                                                                               
 [3] "shallow hmm now theres idea "                                                                                                                                                                       
 [4] "maybe illfated cruise liner movie struck shallow reef early things may turned better "                                                                                                              
 [5] " first thing struck "                                                                                                                                                                               
 [6] "surprised camera work opening sequence anyway terrible "                                                                                                                                            
 [7] "looked like cameramen drunk kept tripping feet "                                                                                                                                                    
 [8] "different original movie "                                                                                                                                                                          
 [9] " characters "                                                                                                                                                                                       
[10] "well many characters actually characters heres rundown "                                                                                                                                            
[11] "annie highlight original must seriously banged head train crash end first movie "                                                                                                                   
[12] " "                                                                                                                                                                                                  
[13] " somethings got account losing many iq points "                                                                                                                                                     
[14] "even though annie wasnt exactly rocket scientist speed actions just make want beat head wall "                                                                                                      
[15] " instance successfully using chainsaw cut hole door group people can escape noxious gases stands middle opening five minutes till someone reminds people cant get ut till gets chainsaw faces bang "
[16] "bang bang "                                                                                                                                                                                         
[17] " point fact sandras character turned little one scantly dressed extras hercules constantly rescued "                                                                                                
[18] "jason patric "                                                                                                                                                                                      
[19] " can say bring back keanu "                                                                                                                                                                         
[20] "keanu reeves might emotional range tree stump "                                                                                                                                                     
[21] "thats one tree stump jason "                                                                                                                                                                        
[22] " dont think changed facial expressions movie jason smile cameras "                                                                                                                                  
[23] "now frown said frown oh bang "                                                                                                                                                                      
[24] "bang bang "                                                                                                                                                                                         
[25] "wooden just doesnt describe guys performance itll "                                                                                                                                                 
[26] " bad guy ahh william "                                                                                                                                                                              
[27] "dafoe theres bright move "                                                                                                                                                                          
[28] " can go wrong star acknowledged classic body evidence "                                                                                                                                             
[29] " yes sarcasm "                                                                                                                                                                                      
[30] " wide eyed maniac character doesnt start bad "                                                                                                                                                      
[31] "goes steadily downhill movie progresses "                                                                                                                                                           
[32] " end degenerates chasing annie around hostage even though already money can escape bang "                                                                                                           
[33] "bang "                                                                                                                                                                                              
[34] "though id like give movie double thumbs nice sequences "                                                                                                                                            
[35] "considering movie cost million dollars youd hope thered least couple "                                                                                                                              
[36] " real eyepopper even though given away trailer bang "                                                                                                                                               
[37] "bang sequence cruise liner sideswipes oil tanker "                                                                                                                                                  
[38] " looks terrific surprised hear cruise liner completely "                                                                                                                                            
[39] "computer generated "                                                                                                                                                                                
[40] "wow "                                                                                                                                                                                               
[41] "dont think ive ever seen cg model look real "                                                                                                                                                       
[42] " sequence jason patric trying disable propellers ship also terrific time entire movie get feeling speed "                                                                                           
[43] " lackofspeed problem affects many sequences "                                                                                                                                                       
[44] " oil tanker part oh going hit oil tanker "                                                                                                                                                          
[45] " minutes later oh going hit oil tanker "                                                                                                                                                            
[46] " min "                                                                                                                                                                                              
[47] "get point "                                                                                                                                                                                         
[48] " movie failed simply didnt live name "                                                                                                                                                              
[49] " little feeling speed "                                                                                                                                                                             
[50] " original movie lead characters make split second decisions survive movie felt like well people gonna run island hours think might stroll engineering see cant turn engines im "                    
[51] "passing cafeteria way can get anybody anything "                                                                                                                                                    
[52] " ending movie really terrible "                                                                                                                                                                     
[53] "even though features ive since found one expensive sequences ever movie just doesnt work "                                                                                                          
[54] " part liner crashes town looks realistic surprise "                                                                                                                                                 
[55] "surprise just takes waaaaay long "                                                                                                                                                                  
[56] " seemed go minutes ship finally stopped "                                                                                                                                                           
[57] "one thing struck extremely poor scriptiing ship crashes harbour town around people killed ship "                                                                                                    
[58] "theres people left ship "                                                                                                                                                                           
[59] " stops safe sound characters cheering audience sitting back thinking wait sec happy moment "                                                                                                        
[60] "bang bang "                                                                                                                                                                                         
[61] " dog "                                                                                                                                                                                              
[62] "almost fell seat saw bit dog dodging falling debris "                                                                                                                                               
[63] "putting dog peril become ultimate hollywood cliche every "                                                                                                                                          
[64] "movie seems dogindanger sequence volcano dantes peak independence day daylight twister "                                                                                                            
[65] "lost world etc "                                                                                                                                                                                    
[66] "etc "                                                                                                                                                                                               
[67] " movie perfect example make sequel "                                                                                                                                                                
[68] "director jan de bont try watching orignal movie one backtoback see realises went wrong "                                                                                                            
