 [1] " classic "                                                                                                                                                                 
 [2] " great cast respected supporting actors "                                                                                                                                  
 [3] " interesting premise loser comic book characters "                                                                                                                         
 [4] "however mystery men proved one great disappointments "                                                                                                                     
 [5] " jokes bland hackneyed talents previously made audiences laugh unique rituals "                                                                                            
 [6] " number cliches shallow characters made film difficult sit seriously hurting attempt fast paced premise "                                                                  
 [7] " script tried deliver series small jokes throughout film without big laughoutloud joke mediocre small jokes failed miserably entertaining "                                
 [8] " jokes funny number reasons "                                                                                                                                              
 [9] " used number times previous films best ones mediocre begin ruined trailer expectation laughing clever unique gags clever unique comedians none laugh greatly damaged film "
[10] " mystery men might worked ensemble cast newcomers trying break business "                                                                                                  
[11] " veterans kind junk really questioned whether work funny originally thought "                                                                                              
[12] "thankfully actors movie will appear five movies new year arrives help viewers forget little movie "                                                                        
[13] " film follows band wannabe superheroes living wannabe gotham city ridiculed fellow citizens villains clumsiness failure save day capture bad guy "                         
[14] " fact pathetic losers needed city already successful superhero captain amazing recently captured every evildoer city "                                                     
[15] "captain amazing played terribly uninspired greg kinnear success past worried will lose popularity "                                                                        
[16] " freeing one notorious bad guys city geoffrey rush overacting just bit much keep busy things get hand captain amazing captured "                                           
[17] " wannabe superheroes save day "                                                                                                                                            
[18] " time section plot finished interest happens havent already figured low "                                                                                                  
[19] " scenes catch viewers complete attention "                                                                                                                                 
[20] " first scene film shows wannabes trying save day feels like seriously edited "                                                                                             
[21] "right beginning become slightly funny seeing actors get humiliated old folks home masked goons captain amazing comes saves day ruins movie "                               
[22] "instead editing scene editing done areas unnecessary romance mr furious ben stiller monica waitress claire forlani vast majority film heroes talking coffee table day "    
[23] " simple rule silly action needed order make silly action movie work "                                                                                                      
[24] "another major problem mystery men every actor seemed uncomfortable consequently gave terrible performances "                                                               
[25] " film depended cast work fluently together like bunch old friends working together amiable reunion "                                                                       
[26] "however characters seemed like even want film least script made seem way "                                                                                                 
[27] " pull one actors film randomly hat paul reubens disappeared acting everyones joy returns leaving little impressed "                                                        
[28] " wannabe uses flatulence weapon jokes must therefore fart jokes "                                                                                                          
[29] "fart jokes heard will inevitably heard future films thanks success american pie theres something mary "                                                                    
[30] " mystery men drags towards end point anything else world entertaining "                                                                                                    
[31] "anyone brain knows one heroes going successful talent end one going contribute helpful way "                                                                               
[32] " continue watch "                                                                                                                                                          
[33] " film far worthy guilty pleasure "                                                                                                                                         
[34] " mystery men indeed every time character succeeds another one congratulates says knew "                                                                                    
[35] " mystery men fails every category attempts pass "                                                                                                                          
[36] " makes film bad potential wonderful unforgettable "                                                                                                                        
[37] "terrible acting terrible script terrible waste time changes opinions actors "                                                                                              
[38] " im unpredictable "                                                                                                                                                        
[39] " overexcited ben stiller shouts "                                                                                                                                          
[40] " ben youre complete opposite "                                                                                                                                             
