 [1] "yeah yeah advertisements didnt even try conceal fact movie one hook sex "                                                                                                                                
 [2] "neve campbell starship troopers denise richards getting "                                                                                                                                                
 [3] "ok "                                                                                                                                                                                                     
 [4] "yeah decent two minutes film erotica even thats main interest film theres plenty cheeziness sit thru exchange two minutes "                                                                              
 [5] "wild things lot think might expect however "                                                                                                                                                             
 [6] "nearly every single scene huge plot twist guaranteed leave guessing least curious see next turn throughout entire movie "                                                                                
 [7] " fastpaced razorsharp turning events doesnt leave much time enjoy surprises "                                                                                                                            
 [8] " start highclass california high school every student resembles supermodel making "                                                                                                                      
 [9] "guidance counselor sam lombardo matt dillon seems catch eye every student particularly kelly van ryan richards daughter locally prestigious family whose social status high bank accounts "              
[10] "right bat kelly using every asset effort seduce mr lombardo "                                                                                                                                            
[11] " fundraiser car wash seems opportune time particularly wash guidance counselors jeep white clothes take plenty precautions insure youll soaked head toe youre done "                                     
[12] " weekend car wash kellys attempts seduction fall flat concocts tale sam fact raped day "                                                                                                                 
[13] "naturally sam thrown state panicked shock accusations "                                                                                                                                                  
[14] " otherwise unsubstantial fabrications soon lead criminal trial lowclass marijuana smoking student name suzie toller campbell comes forth near identical story also involving trusted guidance counselor "
[15] "pitting communities respected names authoritarians sam must prove innocence thru aid makeshift defense attorney ken bowden played bill murray "                                                          
[16] "yes bill murray "                                                                                                                                                                                        
[17] "sound like good complete movie "                                                                                                                                                                         
[18] "yes alone just beginning "                                                                                                                                                                               
[19] " fact trial fifteen twenty minutes film "                                                                                                                                                                
[20] " merely used launch twisted story recent time "                                                                                                                                                          
[21] " time movie finishes will gone thru every plot twist imaginable "                                                                                                                                        
[22] "unfortunately much going youre given enough time one predicament effectively shocked new twist comes "                                                                                                   
[23] " just one way director john mcnaughton fails make movie fun couldve "                                                                                                                                    
[24] " minutes fly although never feels underdeveloped pretzel storytelling couldve much richly realized slower pace taken "                                                                                   
[25] " acting incredibly reminiscent fox primetime soap operas good thing "                                                                                                                                    
[26] " just campbell happens hail primetime fox soap party five everyone suffers heavily melodramatic overtones "                                                                                              
[27] "dillon charming understated role last years gives best performance murrays surprising appearance adds comedic flare film "                                                                               
[28] " fact whole movie promoted subtle comedy even exact film actually give better grade "                                                                                                                    
[29] "thats cheezy comes "                                                                                                                                                                                     
[30] " aside two rest offer nothing good eyefulls "                                                                                                                                                            
[31] " right hands wild things couldve wickedly delightful scrumptiously twisted thriller instead get juvenile overuses profanity laughable displays acting "                                                  
[32] " whats people passing high school students "                                                                                                                                                             
[33] " realize hollywood often casts older actors play teenage roles realized wasnt supposed college snicker "                                                                                                 
[34] " wont lie definitely guilty pleasure "                                                                                                                                                                   
[35] " corny got interesting aspects deserve least b effort "                                                                                                                                                  
[36] " just want admire denise richards go last years starship troopers every bit campy million times better "                                                                                                 
[37] " course seeing breasts important goal youll right home wild things "                                                                                                                                     
[38] "perhaps wildest thing somebody actually looked thought deserved theaters "                                                                                                                               
