 [1] " long ago men names peckinpah ford leone eastwood made westerns "                                                                                                                                  
 [2] "real westerns "                                                                                                                                                                                    
 [3] " best films twentieth century "                                                                                                                                                                    
 [4] " days gone "                                                                                                                                                                                       
 [5] "now crap like wild wild west pass western "                                                                                                                                                        
 [6] " record improved unbearable tale american outlaws "                                                                                                                                                
 [7] "outlaws yet another retelling jesse james legend courtesy bmovie king james g robinson producer classics wrongfully accused chill factor "                                                         
 [8] "delayed since spring version stars irish hunka hunka burning love colin farrell best part schumachers tigerland badass jesse james "                                                               
 [9] "alas sense character left ranch leaving us cute chicks like ali larter minus whipped cream watch "                                                                                                 
[10] " spin time around fresh serving southern militiamen civil war jesse james farrell brother frank gabriel macht pal cole younger scott caan lay arms head home missouri tend family farms war ended "
[11] " trouble brewing small town liberty evil railroad baron thaddeus rains harris yulin cronies rollin parker terry oquinn allan pinkerton timothy dalton demand boys turn lands railroads "           
[12] " jameses youngers join forces fight railroad robbing banks missouri thus cutting railroads financial surplus playing robin hood local people "                                                     
[13] "along way boys squabble whos cutest gang whos popular cowboy gang go mtvs total request live "                                                                                                     
[14] " rob numerous banks identical interiors always kindest hearts strutting grungy dusters moby songs play background "                                                                                
[15] " witty banter share plastered within hallmark card "                                                                                                                                               
[16] " biggest disappointment lies acting colin farrell "                                                                                                                                                
[17] " great job tigerland farrell walks role easier nicolas cage gone seconds "                                                                                                                         
[18] " american accent rivals richard geres irish accent jackal "                                                                                                                                        
[19] "combined feeling like bonanza teen years homogenized production toned get everpopular pg rating gives us invincible jesse james quickly grows tiresome boring "                                    
[20] " unbearable villains courtesy timothy dalton thaddeus rains spend entire film proclaiming everyone hanged sucking energy left film "                                                               
[21] " mention real story jesse james gang bears resemblance plot american outlaws "                                                                                                                     
[22] "instead movie full old outrageous tales wild west tales went style cent magazines century ago "                                                                                                    
