 [1] " cop troubled personal life "                                                                                                                                                                                                                                                                    
 [2] " ruthless villain "                                                                                                                                                                                                                                                                              
 [3] " friend cop "                                                                                                                                                                                                                                                                                    
 [4] " dead friend cop "                                                                                                                                                                                                                                                                               
 [5] " quest vengeance "                                                                                                                                                                                                                                                                               
 [6] " new partner "                                                                                                                                                                                                                                                                                   
 [7] " romantic interest "                                                                                                                                                                                                                                                                             
 [8] " chase scene "                                                                                                                                                                                                                                                                                   
 [9] " chase scene san francisco "                                                                                                                                                                                                                                                                     
[10] " woman peril "                                                                                                                                                                                                                                                                                   
[11] " confrontation "                                                                                                                                                                                                                                                                                 
[12] " explosion "                                                                                                                                                                                                                                                                                     
[13] " end "                                                                                                                                                                                                                                                                                           
[14] "yawn "                                                                                                                                                                                                                                                                                           
[15] "yawn "                                                                                                                                                                                                                                                                                           
[16] "yawn "                                                                                                                                                                                                                                                                                           
[17] " preceding plot approximately twelve thousand six action films one just happens called metro "                                                                                                                                                                                                   
[18] " learned expect little films like metro consequently bored often genuinely disappointed "                                                                                                                                                                                                        
[19] " eddie murphy board however hope something extra kind spark "                                                                                                                                                                                                                                    
[20] " film makes watching eddie murphy tedious experience know something terribly wrong "                                                                                                                                                                                                             
[21] "murphy stars scott roper hostage negotiator san francisco police department exceedingly good job "                                                                                                                                                                                               
[22] " personal life considerably less successful facing unhappy exgirlfriend named veronica carmen ejogo gambling problem mountain debt "                                                                                                                                                             
[23] " professional life gets jolt well friend colleague art evans murdered investigating suspected jewel thief michael korda michael wincott "                                                                                                                                                        
[24] "finding korda becomes personal scott joins new partner kevin mccall michael rappaport foil korda attempted heist "                                                                                                                                                                               
[25] " well even korda jail scott veronica kevin continue face lifethreatening danger "                                                                                                                                                                                                                
[26] "metro title case wondering means absolutely nothing badly put together even casual viewer may notice miserable pacing stray plot threads "                                                                                                                                                       
[27] " first place kordas rage discovered can make big score rendered completely pointless proceeds hit target anyway incidentally screw "                                                                                                                                                             
[28] " reference payoffs police department followed conspicuous decision keep scott korda case couple pointed glances dropped abruptly resolution fortyfive minutes even relationship scott new partner kevin perfunctory kevin disappearing entirely taking bullet scott may yearn bickering buddies "
[29] "worst plot structure places main villain always menacing michael wincott behind bars far long leaving lot time kill tedious reconciliation scott veronica "                                                                                                                                      
[30] " cant blame murphy unable muster enthusiasm scenes bland leading lady known better take role "                                                                                                                                                                                                   
[31] "scott roper exists uncomfortable middle ground kind streetwise fasttalker murphy built career actual threedimensional character murphy never able reconcile two "                                                                                                                                
[32] " script seems doctored gambling problem turned bit character color supposed inability form relationships turned cause gags rather actual conflict yet still little comedy murphy work "                                                                                                          
[33] " much film walks around intense frown minutes metro hear trademark laugh first time "                                                                                                                                                                                                            
[34] "murphy stranded solid punch lines nearly ones bounce ejogo fall ground limply "                                                                                                                                                                                                                  
[35] " suppose give director thomas carter credit taking obligatory san francisco car chase much want bet likelihood seeing car soar hill interesting things "                                                                                                                                         
[36] " vehicles sent flying passengers sent sprawling runaway cable car possible least moment take pleasure goofy spin familiar situation "                                                                                                                                                            
[37] "carter even better job taking old suspense standby medicine cabinet mirror will close reveal killer standing behind someone using defuse tension twice "                                                                                                                                         
[38] " fact carter able demonstrate even much recognition cliches willingness subvert makes involvement rest disaster metro puzzling "                                                                                                                                                                 
[39] " action film like plods relentlessly obviously point point b point c might find shouting point c theyre still getting point b getting rest audience big explosion signals nothing else consequence going happen "                                                                                
