 [1] "gordie boggs arquette aptly cast moron one best friend sean dawkins scott caan "                                                                                                                                                               
 [2] " son james caan reduced garbage like two losers wyoming jobs girlfriends look world championship wrestling champion jimmy king terribly casted oliver platt everything "                                                                       
 [3] " finally get see live screwed title evil ruthless promoter titus sinclair wasted palitaliano role originally meant reallife wcw president eric bischoff whose name written role "                                                              
 [4] "gordie sean track king atlanta discover really english king wcw writers created drunken ignorant southerner irritated two lunkheads bob newhart larry darryl darryl "                                                                          
 [5] " sneak back onto wcw tv sinclair agrees book steel cage match las vegas wcws next payperview rival diamond dallas page "                                                                                                                       
 [6] " wins king gets title career back plus one million dollars "                                                                                                                                                                                   
 [7] "wcw president eric bischoff knowing promotion desperate bad writing ratings skyrocketing thanks far superior world wrestling federation came idea movie hoping save wcw "                                                                      
 [8] " fired rehired two months ago time hed left already contracted film bischoff play sinclair best anybody seen wcw programming knows bischoff actor "                                                                                            
 [9] " characters gordie sean show exactly eric bischoff thinks fans "                                                                                                                                                                               
[10] " thinks young dumb pathetic idiots will believe anything will put front real "                                                                                                                                                                 
[11] " doesnt take fans consideration books nitro payperview "                                                                                                                                                                                       
[12] " news eric wrestling fan day age dumb enough believe professional wrestling isnt show unless four years old "                                                                                                                                  
[13] " know "                                                                                                                                                                                                                                        
[14] "bischoff will try cover criticism like saying comedy doubt mind dramatic rockystyle film probably "                                                                                                                                            
[15] "professional wrestling ridiculed enough first wrestling movie ten years comedy gordie sean portrayed light "                                                                                                                                   
[16] "anybody seen documentary wrestling shadows documenting wwf owner vince mcmahons doublecrossing bret hart will probably realize via reviews previews ready rumble basically ripoff films storyline poor mans wayne garth thrown comedic affect "
[17] " can tell titus sinclair supposed poke fun vince selfrespecting wrestling fan knows sinclair inspired bischoff vince vince bret hart "                                                                                                         
[18] " aspects film needless say seriously offended wrestling fan "                                                                                                                                                                                  
[19] "another thing found disturbing film romance gordie nitro girl sasha lovely rose mcgowan "                                                                                                                                                      
[20] "wouldnt easier bring something new relationship rather revealing working gordie sinclairs insistance "                                                                                                                                         
[21] " hate cliche "                                                                                                                                                                                                                                 
[22] " world wrestling federation made better film "                                                                                                                                                                                                 
[23] " promotion everyone cares winning ratings better wrestlers take fans consideration dont treat fans like morons "                                                                                                                               
[24] " vince movie "                                                                                                                                                                                                                                 
