 [1] "confucius said governing nation like cooking small fish dont overdo "                                                                                                    
 [2] " maxim might easily applied writing comedy script quantity quality one worst mistakes amateur scribe can make "                                                          
 [3] "granted mike judge writerdirector workplace satire office space isnt exactly amateur infamous work mtv series beavis butthead pure gold network "                        
 [4] " unfailingly judge manages make rather inexcusable mistakes office space spreading iffy plot much ground "                                                               
 [5] " iffiness judges plot group coworkers plan downfall despicable boss appeal "                                                                                             
 [6] " fact based popularity scott adams cartoon dilbert will soon television series satirical view american workplace hot item hollywood "                                    
 [7] "unfortunately concept lends skitlength sequences home set saturday night live rather fulllength feature "                                                                
 [8] " convincing evidence trailers office space feature almost movies top content leaves actual picture appearing deflated "                                                  
 [9] " evidence office spaces failure work lack good jokes "                                                                                                                   
[10] " comedy marginally funny best enough get packed house theatergoers laugh loud "                                                                                          
[11] " material movie onkey older demographic judge used targeting partially explain work "                                                                                    
[12] "however movie loaded many misfires including token plot allow excuse "                                                                                                   
[13] " plot centers around three four cubicled engineers headed peter gibbons ron livingston company named initech "                                                           
[14] " movie elaborately establishes miserable working conditions initech movie introduces us two consultants john c mcginley paul willson charge downsizing companys payroll "
[15] " peter gang learns well reason behind smooth talking boss bill lumbergh gary cole s stock will go set creating plan see downfall "                                       
[16] " circumstances follow obviously intended hilarious come anything "                                                                                                       
[17] " sympathetic cast muddled jennifer anistonasloveinterest subplot keep one together definitely missable lieu something intelligent "                                      
