 [1] " something bad "                                                                                                                                                                                                     
 [2] " must sitting movie sheer punishment "                                                                                                                                                                               
 [3] "heres plot "                                                                                                                                                                                                         
 [4] "ricky jeff goldblum producer goodbuy network one hour home shopping channels "                                                                                                                                       
 [5] " new boss robert loggia plans can rickys behind doesnt turn previous months flat sales numbers around add problems ricky also work kate kelly preston ivy league wunderkind boss brought "                           
 [6] "kate ricky dont get along dont great ideas meet g eddie murphy spiritualist sees something positive everything "                                                                                                     
 [7] " soothing voice simple logic makes people feel good quality will make g new gbn television star key networks success "                                                                                               
 [8] " first problem flaw plot "                                                                                                                                                                                           
 [9] "sure g makes people feel good "                                                                                                                                                                                      
[10] "sure told people feel guilty buying impulse item matter wealthy might ill even believe g talks talk allows people feel good theyve bought "                                                                          
[11] " hey thats theyve bought "                                                                                                                                                                                           
[12] " sales skyrocket first time g camera "                                                                                                                                                                               
[13] "far trying sell product g instead blathers dont even need thing "                                                                                                                                                    
[14] "someone please tell supposed move merchandise first place "                                                                                                                                                          
[15] " might say people feel good theyve bought come back due simple fact first round sales inexplicable im convinced filmmakers mind "                                                                                    
[16] " whole movie therefore seriously undermined key point plot never credible "                                                                                                                                          
[17] "another problem humor "                                                                                                                                                                                              
[18] " know see eddie murphy movie think unreasonable expect film comedy "                                                                                                                                                 
[19] "whoa partner surprise "                                                                                                                                                                                              
[20] "holy man funny "                                                                                                                                                                                                     
[21] "murphy one asset youd think movie remember brought last minute save best defense "                                                                                                                                   
[22] " maybe dont seriously reigned "                                                                                                                                                                                      
[23] " script gives almost nothing work seems though director stephen herek kept toned actors film wouldnt left window dressing "                                                                                          
[24] "theres one moment film murphy allowed let loose lasts three shouted words seem totally place result "                                                                                                                
[25] "pathetic "                                                                                                                                                                                                           
[26] " three jokes work entire picture theyre even great "                                                                                                                                                                 
[27] " side note cameo appearances dan marino pitching contraption allows cook car engine james brown introducing medicalert device shouts help "                                                                          
[28] "just like hardest working man show business push button never cause personal laughometer rise level mild bemusement "                                                                                                
[29] " well ask surely must convincing performances make lack humor "                                                                                                                                                      
[30] "think buckwheat "                                                                                                                                                                                                    
[31] "jeff goldblum disappoints "                                                                                                                                                                                          
[32] "kelly preston flat like "                                                                                                                                                                                            
[33] "robert loggia kind role virtually typecast cant anything "                                                                                                                                                           
[34] " script part problem actors dont even look like believe move theyre making "                                                                                                                                         
[35] " look lot like theyre bored "                                                                                                                                                                                        
[36] "just like audience "                                                                                                                                                                                                 
[37] " humor absent comedy acting like siberian steppes "                                                                                                                                                                  
[38] " film drags dropped anchor "                                                                                                                                                                                         
[39] " wait "                                                                                                                                                                                                              
[40] " problems dont make film slow enough screenplays pacing makes movie even slower "                                                                                                                                    
[41] " takes entire first half hour establish movies premise time film wades tortuous seemingly mandatory romance ricky kate subplot involving conniving pr man eric mccormack wants discredit g take rickys job producer "
[42] " pr guys plan foiled film climaxes treated little epilogue can go home right "                                                                                                                                       
[43] "wrong "                                                                                                                                                                                                              
[44] " movie goes another half hour "                                                                                                                                                                                      
[45] "continental drift indy compared pace holy man "                                                                                                                                                                      
[46] " thing holy holy man will surely number people exclaiming holy movie awful "                                                                                                                                         
[47] " one truly pious "                                                                                                                                                                                                   
