 [1] " shagadellic groovy baby "                                                                                                                                       
 [2] " smashing "                                                                                                                                                      
 [3] "adorn page ad movie tabbed comedy america may th "                                                                                                               
 [4] " attend movie "                                                                                                                                                  
 [5] " minutes seemed overlong like snl skit steroids length seemed unfunny "                                                                                          
 [6] "yes sets costumes interesting exaggeration s pop frills yes concept dealing s secret agentpop icon played myers awakened cryogenic slumber battle arch enemy dr "
 [7] "evil also played myers present day great deal potential "                                                                                                        
 [8] "fun costumes scenery potential movie make lets throw hefty dose bathroom humor "                                                                                 
 [9] "dont get wrong like good bubbles bathtub joke much next person type humor funniest thing movie waste yuor talent money "                                         
[10] " way things work days movie business film call funniest people will believe "                                                                                    
[11] " give film stars sets costumes sadly unmet potential "                                                                                                           
