 [1] "retrospective city living dead "                                                                                                                                                         
 [2] " film review mike watson copyright mike watson "                                                                                                                                         
 [3] " heard someone describe films italian schlock horror director lucio fulci dimwitted "                                                                                                    
 [4] " golly just words fail confronted dog like city living dead "                                                                                                                            
 [5] "although late fulci managed rather good thrillers career one "                                                                                                                           
 [6] "two points movies favour impressive camerawork sergio salvati occasionally evocative score fabio frizzi keep things falling totally abyss large city living dead failure "               
 [7] " like cinematic failures comes bad writing dumb performances lousy direction "                                                                                                           
 [8] " story starts new york seance medium katherine mccoll sees vision priest hanging town dunwich massachusetts "                                                                            
 [9] " reasons wont go opens gates hell must closed saints day dead will rise walk earth "                                                                                                     
[10] " medium apparently dies fright seance awakens coffin graveyard next day rescued crusty old journalist christopher george "                                                               
[11] " scene howler bust open coffin large pick axe know someone alive inside "                                                                                                                
[12] " dont cadavers various things stuffed drained theyre buried "                                                                                                                            
[13] "anyway two go dunwich save world various grisly goingson already happening saints day approaches "                                                                                       
[14] "fulcis graphic gore evidence serves highlight films flimsy script plodding direction "                                                                                                   
[15] " dialogue manner speaking unspeakable "                                                                                                                                                  
[16] " bad quotable sense like ed wood film bad sheer dullness blatantly obvious lets explain plot type approach "                                                                             
[17] "mccoll doesnt clue character deadly serious one minute frivolous next times genuinely hard watch "                                                                                       
[18] " geezer actors name escapes plays town psychiatrist becomes even harder stomach mccoll film progresses "                                                                                 
[19] "christopher georges performance salvageable gets brains ripped end zombie dont care "                                                                                                    
[20] " fact dont care anyone city living dead though fulci films hasnt mattered much form stylist ideas man beyond "                                                                           
[21] " director fulci idiosyncrasies incredibly silly annoying "                                                                                                                               
[22] " constantly uses extreme closeups peoples eyes ridiculous technique suggests attempt convey emotion dialogue actors arent capable "                                                      
[23] " despite gruesome violence barely manages single scare entire film "                                                                                                                     
[24] "longtime collaborator fabio frizzi talented always erratic offers patchy soundtrack veers eerie gothic death marches woefully inappropriate electropop thats quite frankly embarrassing "
[25] "fulcis films period may flawed house cemetery beyond black cat nonetheless films inspiration atmosphere better dialogue turkey "                                                         
[26] " completists "                                                                                                                                                                           
