 [1] " cometdisaster flick disaster alright "                                                                                      
 [2] "directed tony scott top gun tells story asteroid size texas caught collision course earth "                                  
 [3] " thought dinky little comet deep impact trouble "                                                                            
 [4] "jeez "                                                                                                                       
 [5] " great opening american spaceship plus city new york completely destroyed comet shower nasa detects said asteroid go frenzy "
 [6] " hire worlds best oil driller bruce willis send crew space fix globel problem "                                              
 [7] "thats like sending mouse cat carrier isnt "                                                                                  
 [8] " action armageddon top nonstop ludicrous words sigh hit head notebook couple times "                                         
 [9] " alone "                                                                                                                     
[10] "plus see wonderful actor like billy bob thornton film like armageddon waste actors talents "                                 
[11] " film just reel show bunch snazzy fx shots "                                                                                 
[12] " real reason making film somehow outperform deep impact "                                                                    
[13] "producer jerry bruckheimer fails armageddon "                                                                                
