 [1] "call hush stop mom will kill "                                                                                                                                                                                                      
 [2] " mommy fearest "                                                                                                                                                                                                                    
 [3] " hand robs cradle "                                                                                                                                                                                                                 
 [4] "call whatever want certainly dont see unless youre desperate need bad movieinduced chuckle hush scores many unintentional guffaws almost qualifies guilty pleasure "                                                                
 [5] "chalk losses frequent stupidity lapses apparent postproduction tinkering supposed open year ago latter appears given hush sendoff thats downright infuriating "                                                                     
 [6] " bad hush laughable onscreen talent including pairing gwyneth paltrow jessica lange nothing laugh "                                                                                                                                 
 [7] "paltrow johnathon schaech play helen jackson photogenic new york couple way spend christmas vacation wealthy welltodo familys horse farmestate kilronan "                                                                           
 [8] "jacksons mother martha lange runs kilronan genteel southern hospitality makes helen feel welcome immediately even first meeting martha takes place helen altogether caught redhanded bedroom romp husbandtobe "                     
 [9] " seems marthas friendly smile masks much threatening demeanor shes youd call someone loves much "                                                                                                                                   
[10] "martha eagerly deviously wants grandchild helen will expendable far shes concerned "                                                                                                                                                
[11] " theres one reason catch hush lange "                                                                                                                                                                                               
[12] " treats pedestrian screenplay better deserves treated injecting martha poorly written though may little empathy level psychoplaying field "                                                                                         
[13] " delves marthas dark side predictable cliches chainsmoking staring mirrors praying confessional priest isnt poking hole helens diaphragm shell become pregnant abound moderately entertaining junk lange interesting actress watch "
[14] "veteran performer nina foch smart tart jacksons wheelchairbound paternal grandmother "                                                                                                                                              
[15] " rest cast looks ill uncomfortable especially paltrow "                                                                                                                                                                             
[16] " can really blame "                                                                                                                                                                                                                 
[17] " character relationships hush hold certain amount promise least psychological impact blown water sheer stupidity "                                                                                                                  
[18] "idiotic situations martha yells nearby horse will bolt knock helen compliment idiotic dialogue yell "                                                                                                                               
[19] "helen yells back martha film takes form one shoddier fill blankfromhell flicks ever made "                                                                                                                                          
[20] " can see great deal marthas actions lies conception people known woman years longer never figure things "                                                                                                                           
[21] " nobody communicate read newspaper town "                                                                                                                                                                                           
[22] " potential victims thought acted behaved like normal people hush really short movie "                                                                                                                                               
[23] " theres climax ending abruptly come helen starts contractions eating pound cake spiked laborinducing drug normally used horses "                                                                                                    
[24] " really weird chase scene martha calmly knits rocking chair forcing helen give birth bed "                                                                                                                                          
[25] " wont spoil happens next except say contradictory illogical probably since im doctor medically impossible "                                                                                                                         
[26] " final scene offers closure resolution confrontation whatsoever "                                                                                                                                                                   
[27] " just dangling amidst silent displeasure "                                                                                                                                                                                          
[28] " one like ending regardless feelings preceding material "                                                                                                                                                                           
[29] "perhaps hush s title plea silence audiences likely bitter word mouth exiting theater "                                                                                                                                              
