 [1] "retelling classic story joan arc popular trend year "                                                                                                                                                        
 [2] "earlier may leelee sobieski played passionate title role toprated miniseries debuted cbs "                                                                                                                   
 [3] " now director luc besson delivered version sweeping epic teenage girl supposedly sent god rescue france clutches enemies "                                                                                   
 [4] "starring milla jovovich predominantly unconvincing heavenly messenger accused witch messenger story joan arc disjointed overblown historical reenactment prevails merely bloated mistreatment famous legend "
 [5] "besson whos previous work includes hyperactive scifi fifth element perhaps entrusted bit much faith exwife jovovich messenger actress drowning pool inexperience "                                           
 [6] " first reports indicating jovovich chosen demanding role highly doubtful marginal talent carry film caliber "                                                                                                
 [7] " seeing rousing trailer hesitant optimism suddenly skyrocketed milla jovovich looked superb "                                                                                                                
 [8] " hopeful propulsion stellar performance messenger looked like timeless epic making "                                                                                                                         
 [9] " timeless epic "                                                                                                                                                                                             
[10] "besson hesitant abandon unique flashy style story behind messenger entirely suited demands "                                                                                                                 
[11] " shoulders bessons choppy unexciting direction film dissipates uninspiring hodgepodge poorly executed battle sequences bizarre imagery "                                                                     
[12] " human exploration character joan jeanne "                                                                                                                                                                   
[13] "jovovich merely rambles power god little insight visionary objective "                                                                                                                                       
[14] "jovivichs unsatisfying portrayal helps lead realization besson sees jeanne piece spiritual cardboard "                                                                                                       
[15] " just another special effect continuous visual feast "                                                                                                                                                       
[16] "jovovich isolated moments sheer power mainly looks lost "                                                                                                                                                    
[17] "quite frankly dont know actress successfully navigate way messenger without major fumble "                                                                                                                   
[18] " script chockfull laughable dialogue unfortunate comedy jeanne confronts uncrowned king charles vii john malkovich informs heavenly intentions "                                                             
[19] "faye dunaway plays charles overbearing motherinlaw dustin hoffman appears twohours story character dubbed conscience "                                                                                       
[20] " three actors juggle limited screen time although malkovich uncharacteristically awful "                                                                                                                     
[21] " battle scenes extremely bloody presence jittery camera work capture none excitement finesse something like braveheart "                                                                                     
[22] "theres particularly graphic unsettling scene early jeanne young girl watches horror closet older sister murdered savagely raped bloodthirsty english soldier "                                               
[23] "even fellow troopers petrified "                                                                                                                                                                             
[24] " messenger also strictly s update classic story "                                                                                                                                                            
[25] "almost s seems "                                                                                                                                                                                             
[26] "theres gratuitous use fword barrage slang terms like shes nuts "                                                                                                                                             
[27] "sprinkled throughout screenplay "                                                                                                                                                                            
[28] " halfexpecting jeanne invite homeys come chill crib never happened "                                                                                                                                         
[29] "theres also familiar presence bizarre besson humor none comes even remotely close functioning properly "                                                                                                     
[30] " seems terribly misplaced catastrophe jumbled disjointed messenger almost everything "                                                                                                                       
[31] " musical score erric serra spectacular set production designs continuously impressive "                                                                                                                      
[32] " visual excellence besson striving achieves goal "                                                                                                                                                           
[33] " time dramatics come alive messenger closing trial jeanne found guilty burned stake "                                                                                                                        
[34] " moments historical relevance dramatic purpose joan arc reaches audience albeit faint stream light provokes little power meaning "                                                                           
[35] " just delayed besson revive lifeless interpretation always concerned wrong aspects "                                                                                                                         
[36] " messenger story joan arc unlikely unwelcome historical addition hollywood shelf "                                                                                                                           
[37] "anyone searching entertaining epic going painfully slapped overblown confusing film "                                                                                                                        
[38] "despite original hopefulness milla jovovich going worry thanking academy "                                                                                                                                   
