 [1] " im scientist "                                                                                                                                                                                                  
 [2] "thats "                                                                                                                                                                                                          
 [3] " dr alexander mccabe bob gunton response created evil bats "                                                                                                                                                     
 [4] "alright folks stop youve heard one genetically altered animals wreak havoc town small band locals assisted specialist particular animals field must team stop mutant creatures can multiply spread across earth "
 [5] "oh yeah military way bomb town well running short time "                                                                                                                                                         
 [6] "sound familiar "                                                                                                                                                                                                 
 [7] " plot destination films release bats "                                                                                                                                                                           
 [8] "dina meyer stars bat specialist sheila pulled research along annoying sidekick played irritating deftness leon order help small texas town figure local citizens animals chewed death recently "                 
 [9] " help local sheriff lou diamond phillips cdc official carlos jacott scientist bob gunton sheila discovers indeed bats genetically altered guntons character aggressive omnivorous order used military weapon "   
[10] " say knew exactly getting going film "                                                                                                                                                                           
[11] "theres frame promotional footage seen film led believe going good "                                                                                                                                              
[12] " respect film never disappointed "                                                                                                                                                                               
[13] " film reaches level transcends bad good level borders downright insane "                                                                                                                                         
[14] " effects awful script contrived feature laughing things supposed taken seriously think "                                                                                                                         
[15] " challenge anyone sit scene bat stalks baby crib another bat terrorizes patron eating diner straight face "                                                                                                      
[16] "thankfully performances good can considering material actors perform "                                                                                                                                           
[17] "dina meyer always highlight films johnny mnemonic dragonheart starship troopers "                                                                                                                                
[18] " latter film batch actual merit one exception "                                                                                                                                                                  
[19] " one never really gets impression meyers character bat expert reality one never really cares doubt either "                                                                                                      
[20] " gives good performance expected plus shes nice look hour half "                                                                                                                                                 
[21] "lou diamond phillips also serviceable small town sheriff turned eventual hero "                                                                                                                                  
[22] "although first meet character knows bats reason whats going town reason later suddenly becomes amazed learn actual cause deaths town bats "                                                                      
[23] " bad performance film leons "                                                                                                                                                                                    
[24] " relegated im sticking around "                                                                                                                                                                                  
[25] "character proceeds repeat variations line majority film even though stays "                                                                                                                                      
[26] "anyone cant immediately tell bob gunton bad guy patch adams countless films going eventually turn gang side creations eminent death will probably surprised highly doubt "                                       
[27] "even hadnt villain just every film hes ever many obvious hints given indicate devious act holds shock whatsoever "                                                                                               
[28] " fact death welcome finally starts moving plot towards finale "                                                                                                                                                  
[29] " plot doesnt sound ridiculous yet check little tidbits multitude bats inexplicably disperses police officer cocks pistol "                                                                                       
[30] " entire town disregards sheriff doctors orders stay indoors curfew instigated causing mass hysteria bats come full force killing several townsfolk "                                                             
[31] " government official blows shelias instructions wait dawn install cooling unit bats cave will kill pulling night job resulting death entire military unit "                                                      
[32] " cavern full bat feces never ignites phosphorus flare lit right middle "                                                                                                                                         
[33] "finally top little texas town showing nosferatu single screen theater reference town million people nearly movie screens lucky even get kevin smiths dogma "                                                     
[34] " laughable part movie though comes illconceived bat puppets "                                                                                                                                                    
[35] " actual bat attack scenes shot rapid fire editing making scenes nearly impossible comprehend whats going scenes bat called upon interact live actor usually shot lowkey "                                        
[36] "therefore audience get loving closeups unrealistic rubbery bat puppets ever committed film "                                                                                                                     
[37] " able see puppeteers arms things made creations worse "                                                                                                                                                          
[38] " still decide bats might movie dont say havent warned "                                                                                                                                                          
[39] "trust say lot fun trash sit "                                                                                                                                                                                    
[40] " just wish dina meyer cast roles least choose better films appear "                                                                                                                                              
[41] "shes definitely talent going waste films like "                                                                                                                                                                  
