 [1] " tagline random hearts reads perfect world never met "                                                                                                                                                              
 [2] " perfect world never seen movie "                                                                                                                                                                                   
 [3] " biggest flaw minutes film kay chandler kristin scott thomas dutch van den broeck harrison ford two major characters alive resulting little doubt will end together point laborious twohoursandthensome production "
 [4] "dutch sergeant internal affairs district columbia police department "                                                                                                                                               
 [5] "kay congresswoman new hampshire "                                                                                                                                                                                   
 [6] "although think happily married spouses cheating behind backs "                                                                                                                                                      
 [7] "dutch kay soon widowed plane goes carrying partners subsequently discover affair "                                                                                                                                  
 [8] " rest film pointless unrealistic oftentimes boring story researching sexual relationship blind getting know process "                                                                                               
 [9] "two sub plots little help already problematic film "                                                                                                                                                                
[10] "dutch trying arrest fellow officer task seems rather ordinary hollywood fare "                                                                                                                                      
[11] " great stereotypes get pulled including personal favorite key witness makes bail murdered soon thereafter "                                                                                                         
[12] "kays distraction films primary focus campaign reelection attempts shield year old daughter truth father put pedestal "                                                                                              
[13] " sub plots made semiinteresting points film seems afraid explore politics motherdaughter relations depth consequently suffers "                                                                                     
[14] "random hearts two primary characters seem live shells "                                                                                                                                                             
[15] "although kay dutch given sub plots seem never deal anyone "                                                                                                                                                         
[16] " plenty opportunity dutch partner kay close friends daughter movie shies away exploring relationships "                                                                                                             
[17] "veteran actor director film sydney pollack critically acclaimed upandcomer dylan baker cameo roles careful blink much will miss "                                                                                   
[18] " weak plot hard criticize random hearts "                                                                                                                                                                           
[19] "however also hard compliment "                                                                                                                                                                                      
[20] " film taken small risks fully explored extra characters plots may tasted like well frosted cake rather dry one equates "                                                                                            
