 [1] " backdrop new years eve seem lend great party movie "                                                                                                                                                                                                                                
 [2] " decor possibilities endless disco balls yet migrate dark corners attic big hair worth weight aquanet louder fashion better look "                                                                                                                                                   
 [3] " despite setting details soundtrack includes plus irresistible hits early days decade something inherently wrong cigarettes "                                                                                                                                                        
 [4] " better title nostalgic mess missed opportunities "                                                                                                                                                                                                                                  
 [5] " makes retrocomedy downer "                                                                                                                                                                                                                                                          
 [6] " certainly cast includes enough hot young talent several movies "                                                                                                                                                                                                                    
 [7] "theres courtney love cementing reputation serious actress christina ricci hot shouldabeennominated turn opposite sex paul rudd gets even appealing every role kate hudson inheriting fine acting genes mom goldie hawn affleck brothers ben casey two best things good will hunting "
 [8] "perhaps question drew immensely talented actors dreary project "                                                                                                                                                                                                                     
 [9] "maybe looked good paper "                                                                                                                                                                                                                                                            
[10] " cigarettes composed series vignettes various characters make way new yorks festively decorated east village holiday bash thrown jittery bundle nerves named monica martha plimpton dressed best cyndi lauper "                                                                      
[11] "among potential guests likeable cad kevin rudd best friend lucy love busy bickering recent breakup clumsy seemingly charming bartender ben affleck opens mouth spew forth bad pickup lines "                                                                                         
[12] " subplots many dot big picture listed ones worth noting positive light "                                                                                                                                                                                                             
[13] " story tangents frazzled cokehead trying solve rubicks cube "                                                                                                                                                                                                                        
[14] "ricci gaby hoffman grate two ronkonkoma gals kind trouble pronouncing hard consonants high time big city "                                                                                                                                                                           
[15] "infamously acerbic comedienne janeane garofalo wasted amounts severalscene cameo "                                                                                                                                                                                                   
[16] "hudson prettyinpink klutz recently devirginized reprehensible ladies man jay mohr trips pukes gets smeared dog poop "                                                                                                                                                                
[17] " laughing yet "                                                                                                                                                                                                                                                                      
[18] " film boils mixture good bad gaudy latter two overtaking former "                                                                                                                                                                                                                    
[19] "game performances especially love rudd plimpton almost shot bizarrely colorful parts constantly roving focus combination mostly sputters crackle "                                                                                                                                   
[20] " many sidetracks rate uninteresting little payoff lengthy final montage find many performers served one night stands "                                                                                                                                                               
[21] " cigarettes get nicotine patches "                                                                                                                                                                                                                                                   
