 [1] "instinct kind movie inexperienced moviegoers will undoubtedly label powerful touching "                                                                                                                                               
 [2] " name gross "                                                                                                                                                                                                                         
 [3] " sort film somebody stands bully bully looks rebel threateningly hurt everyone else bully heretofore controlled stands "                                                                                                              
 [4] " scene still present many movies today appalls arent present day moviegoers beyond inspired something like "                                                                                                                          
 [5] " one example actually instinct alone filmmakers insulting audiences intelligence "                                                                                                                                                    
 [6] "instincts plot brimming potential worldrenowned anthropologist ethan powell anthony hopkins disappeared two years whilst research jungles africa "                                                                                    
 [7] " found coming back united states convicted killer murdered african policemen allegedly trying capture "                                                                                                                               
 [8] " committing brutal acts violence airport authorities stick prisons psychotics ward "                                                                                                                                                  
 [9] "assigned evaluation powell bright told young psychiatrist theo caulder cuba gooding jr "                                                                                                                                              
[10] "caulder starts evaluation merely purpose furthering career "                                                                                                                                                                          
[11] " course mainstream filmmaker ever way starts really caring powell becomes fixed helping powell prove psychotic prison "                                                                                                               
[12] " theres inevitable heartless meanie character form donald sutherland plays caulders mentor "                                                                                                                                          
[13] " cares caulder everything can discourage helping powell "                                                                                                                                                                             
[14] "lets get one thing straight dr theo caulder blatantly incompetent psychiatrist ever seen screen "                                                                                                                                     
[15] " good shrink will listen patient say matter subject good shrink will learn great deal patient way "                                                                                                                                   
[16] " good old theo "                                                                                                                                                                                                                      
[17] " asks purposefully pointed questions powell dares venture another subject caulder says need talk right now "                                                                                                                          
[18] " flaw sense detracts instincts already dubious credibility unfortunately also least problems "                                                                                                                                        
[19] "director jon turteltaub made delightful john travolta vehicle phenomenon well surprisingly abovepar cool runnings decided make movie shamelessly sentimental contrary movies promotion believe much common patch adams silence lambs "
[20] " kind sentimentality can almost bring tears eyes dreams may come aptly demonstrated kind brings vomit esophagus excuse graphic depiction "                                                                                            
[21] " aims inspire rather touch hearts "                                                                                                                                                                                                   
[22] " yoda say inspire "                                                                                                                                                                                                                   
[23] " ultimate sign futility screenwriter experienced gerald di pego resort literally telling audience movies story "                                                                                                                      
[24] "indeed somewhere beginning instinct one characters actually reads aloud films plot another character "                                                                                                                                
[25] " like instance mentioned first paragraph review horrid insult intelligence "                                                                                                                                                          
[26] " forced wonder whether turteltaub di pego think figure instinct simply regular conversation "                                                                                                                                         
[27] " think anthony hopkins one greatest screen actors chews scenery movie brilliant ever "                                                                                                                                                
[28] "oscar winner cuba gooding jr hand dreadful "                                                                                                                                                                                          
[29] " performance least part makes character seem incapable shrink "                                                                                                                                                                       
[30] " liked guy jerry maguire well good gets fails project shred credibility real feeling "                                                                                                                                                
[31] " love animals instincts prominent save gorillaslive harmony nature theme certainly something sympathize "                                                                                                                             
[32] "however movies execution completely unacceptable "                                                                                                                                                                                    
[33] "tone violence will chick flick "                                                                                                                                                                                                      
[34] " eugene novikov "                                                                                                                                                                                                                     
