 [1] " great idea movie one cant miss "                                                                                                                                                                                                                                                     
 [2] "see ive got coolio song soundtrack fifty athletes celebrities cameo appearances "                                                                                                                                                                                                     
 [3] " professional basketball ill release right around nba finals guarantee added publicity "                                                                                                                                                                                              
 [4] " movie actually well will sort eventually "                                                                                                                                                                                                                                           
 [5] " figure will comedy ill throw halfdozen writers take best whatever come "                                                                                                                                                                                                             
 [6] "maybe well put gender spin see can get women see "                                                                                                                                                                                                                                    
 [7] "eddie one phenomenally lazy films infuriates kind "                                                                                                                                                                                                                                   
 [8] "twister inane script might least required creative technicians mission impossible overwrought plot least involved genuine effort "                                                                                                                                                    
 [9] "eddie just sits hawking formula story without laughs makes every possible bad decision decision required "                                                                                                                                                                            
[10] "whoopi goldberg plays eddie franklin new york limo driver diehard knicks fan suffering dismal season beloved team "                                                                                                                                                                   
[11] "coach john bailey dennis farina lost control overpaid prima donnas losses beginning mount "                                                                                                                                                                                           
[12] " dwindling attendance inspires new team owner wild bill burgess frank langella try publicity stunt lucky fan will get honorary coach team "                                                                                                                                           
[13] " winner surprise surprise eddie becomes fan favorite eventually actual coach "                                                                                                                                                                                                        
[14] " knicks continue lose eddie sassy tricks sleeve inspire troops "                                                                                                                                                                                                                      
[15] "incidentally knicks eventually start winning "                                                                                                                                                                                                                                        
[16] "please raise hand comes shock will invite allnight marathon bad news bears major league angels outfield mighty ducks big green cool runnings little giants "                                                                                                                          
[17] "awful teams sports comedies make miraculous turnarounds "                                                                                                                                                                                                                             
[18] " teams usually involve kids sound comedic reason funnier screw theyre sympathetic "                                                                                                                                                                                                   
[19] " dont involve kids usually actual actors lead roles another sound comedic reason generally developed sort comic timing "                                                                                                                                                              
[20] "eddie cast misguided premise easier make basketball players look like actors make actors look like basketball players "                                                                                                                                                               
[21] " finds nba players like greg ostertag dwayne schintzius rick fox malik sealy delivering punch lines though reading first time bazooka wrapper though sacramento kings center olden polynice nice moment describing black hole fellow players "                                        
[22] "perhaps didnt matter anyone punch lines whole film one big casting gimmick "                                                                                                                                                                                                          
[23] "steve rash directs spiritless script though waving flag surrender screaming dont blame just work "                                                                                                                                                                                    
[24] "perhaps patently obvious eddie isnt movie cameo appearance trips plot every "                                                                                                                                                                                                         
[25] "among notables lend faces travesty donald trump new york mayor rudolph giulianni former new york mayor ed koch david letterman letterman regulars mujibur rahman sirajul islam espn broadcaster chris berman knicks announcer marv albert well dozens nba players several nba arenas "
[26] " real jokes eddie "                                                                                                                                                                                                                                                                   
[27] "nothing individuals say funny supposed laughing simply notice hey donald trump "                                                                                                                                                                                                      
[28] " hey mujibur sirajul "                                                                                                                                                                                                                                                                
[29] " difficult decide whether eddie bad shamelessly lacking imagination cant even get cliches clicheridden genre script right "                                                                                                                                                           
[30] " knicks coach eddies antagonist early film reappears end isnt given chance villain eddie desperately needs "                                                                                                                                                                          
[31] "neither frank langella none athleteactors ability give whoopi goldberg anything play "                                                                                                                                                                                                
[32] " leaves streetwise miss thang routine character sharp lines help "                                                                                                                                                                                                                    
[33] "eddie isnt just bad movie formulaic premise "                                                                                                                                                                                                                                         
[34] " movie makes feel cheated offended someone came poster marketing plan attach actual movie nerve believe going comedy "                                                                                                                                                                
