 [1] " begin "                                                                                                                                                           
 [2] "okay starship troopers one worst movies hit theaters long time "                                                                                                   
 [3] " fact might even worst major release film come years "                                                                                                             
 [4] " even decade "                                                                                                                                                     
 [5] " bad beyond belief "                                                                                                                                               
 [6] " suggest paying money see "                                                                                                                                        
 [7] "theres good chance youll regret "                                                                                                                                  
 [8] " see free still want walk "                                                                                                                                        
 [9] "go right ahead "                                                                                                                                                   
[10] " movie starts cheesy scenes set future world buenos aires "                                                                                                        
[11] " meet group horrendously bad actors actresses playing obnoxious easyto despise withapassion characters love triangles love rectangles love hexagons screwing life "
[12] " long go join military primarily interest sex youngsters joined "                                                                                                  
[13] " train "                                                                                                                                                           
[14] " strut around nude reason whatsoever "                                                                                                                             
[15] " hour making audience scream agony start fighting bugs "                                                                                                           
[16] " big bugs look nice even though design okay "                                                                                                                      
[17] "unfortunately fights boring since want characters dead anyway "                                                                                                    
[18] "cue agony "                                                                                                                                                        
[19] " characters sex "                                                                                                                                                  
[20] " die "                                                                                                                                                             
[21] " cares "                                                                                                                                                           
[22] "cue agony "                                                                                                                                                        
[23] " movie ends audience runs cars vomits pavement attempts drive home "                                                                                               
[24] "unfortunately torture cant think straight dont pay attention road many ugly car wrecks "                                                                           
[25] " remember batman robin bad "                                                                                                                                       
[26] "well batman robin kicked movies sorry butt people "                                                                                                                
[27] "starship troopers succeed action movie "                                                                                                                           
[28] " succeed drama "                                                                                                                                                   
[29] " succeed war movie "                                                                                                                                               
[30] " succeed comedy "                                                                                                                                                  
[31] " succeed satire "                                                                                                                                                  
[32] " succeed parody "                                                                                                                                                  
[33] " succeeds horrible "                                                                                                                                               
[34] "terrible "                                                                                                                                                         
[35] "gutwrenchingly bad "                                                                                                                                               
[36] " wanted run away movie every minute "                                                                                                                              
[37] " paid money owed others see movie got better "                                                                                                                     
[38] " stayed "                                                                                                                                                          
[39] " never got better "                                                                                                                                                
[40] "frequently impossible got worse "                                                                                                                                  
[41] " movie written acted directed basically just feels whole like mental maturity level free willy whole thing feels like movie threeyearolds enjoy "                  
[42] "except ridiculously gratuitous blood gore pointless nudity "                                                                                                       
[43] " written little children children definitely go anywhere near "                                                                                                    
[44] " course recommend everyone "                                                                                                                                       
[45] "dont go anywhere near "                                                                                                                                            
[46] "verhoevens got streak going now "                                                                                                                                  
[47] " last movie showgirls "                                                                                                                                            
[48] " seems trying see bad movies can get people finally stop coming "                                                                                                  
[49] "showgirls failure appears though itll lucky make near budget movie will still okay grosswise "                                                                     
[50] " really bad "                                                                                                                                                      
[51] "well "                                                                                                                                                             
[52] "troopers four five lines dialougeshort humorous scenes actually funny mostly want know "                                                                           
[53] "commercials pop throughout story promoting joys joining troopers "                                                                                                 
[54] " adds seconds entertainment still one hour minutes seconds miserable torture "                                                                                     
[55] "im totally confused way people really enjoying movie "                                                                                                             
[56] " admit "                                                                                                                                                           
[57] " youre willing possibly put torture go ahead see decide love hate "                                                                                                
[58] " dont know anyone thing love movie hey "                                                                                                                           
[59] "feel free give shot "                                                                                                                                              
[60] " course interest saving souls dont recommend "                                                                                                                     
[61] " guess "                                                                                                                                                           
[62] "alien resurrection comes november th already seen read script assure will blow pretty much everyone away "                                                         
[63] "though opinion starship troopers reasonably split itll difficult find someone wont like alien resurrection theyve seen "                                           
[64] " possibly years best intense action film least one best "                                                                                                          
[65] " really want see alien warfare thats played intelligently seriously see alien resurrection "                                                                       
[66] "please avoid "                                                                                                                                                     
