 [1] "well going expect "                                                                                                                          
 [2] " movie big snake eats people "                                                                                                               
 [3] "thats thinking viewed film maybe enjoyed "                                                                                                   
 [4] "instead ended wishing giant snake come along eat "                                                                                           
 [5] "anaconda documentary film crew sailing south american river "                                                                                
 [6] "led anthropologists dr steven cale eric stolz terri flores jennifer lopez crew attempting locate lost tribe natives "                        
 [7] "along way find poacher paul sarone jon voight become unwillingly embroiled quest capture elusive anaconda "                                  
 [8] " simply say worlds largest snake wouldnt justice since anaconda movie least two feet wide "                                                  
 [9] " isnt good reason avoid picking hitchhikers dont know "                                                                                      
[10] " beginning anaconda find flores cale kind relationship past seems less now "                                                                 
[11] " expected fact play key part somewhere line ended setup nothing "                                                                            
[12] "cale chokes deadly wasp dont ask happens dont know put action relegated person rest film crew must get back civilization medical help "      
[13] " minimally helps add sense urgency plot since goal now comes direct conflict sarones plan capture snake "                                    
[14] "however negated fact cale seems get better halfway film event still results zero payoff relationship angle "                                 
[15] " bad characters either annoying stupid "                                                                                                     
[16] " movie theyre "                                                                                                                              
[17] "since description applies characters except sarone hard find someone root "                                                                  
[18] "youre supposed back good guys really end cheering sarone hes smarter everyone else "                                                         
[19] " maybe hes just dumb everyone else "                                                                                                         
[20] " times almost found rooting snake "                                                                                                          
[21] " standout performances "                                                                                                                     
[22] "everyone seems reciting lines written stock characters "                                                                                     
[23] "even voight appears best impression christopher walken reason "                                                                              
[24] " matter monster movies snake supposed real star anyway "                                                                                     
[25] " scenes snake computer generated effects crew decent job making look real "                                                                  
[26] "however realism thrown pretty unrealistic occurrences "                                                                                      
[27] "sometimes example snake just moves fast "                                                                                                    
[28] " catches guy jumping waterfall crying loud "                                                                                                 
[29] " theres another scene snake eats one characters see snakes skin drawn tightly prey can see victims pained expression within snakes belly "   
[30] "absolutely ridiculous "                                                                                                                      
[31] " testimony films bad direction inclusion scene early film get see just dangerous mighty anaconda "                                           
[32] " scene totally unrelated anything else witness big snake winning showdown panther "                                                          
[33] " anaconda wraps around powerful feline stuffed animal squeezes hard one panthers eyeballs pops "                                             
[34] "eeeewwwww "                                                                                                                                  
[35] " beyond sick factor however scene surprised actually showed face snake quarter movie even passed "                                           
[36] " films like sense mystery surrounding monster must maintained "                                                                              
[37] " characters reacting something fear see audience must experience feeling along "                                                             
[38] " show us monster early let us something characters dont know therefore allow us get used danger pivotal moment man beast climactic showdown "
[39] " case like showdown just ends letdown "                                                                                                      
[40] " saw snake first time decided give film benefit doubt assume snake saw wasnt real danger "                                                   
[41] " one just decoy actually bigger snake waiting make appearance just everyone thought safe "                                                   
[42] " luck "                                                                                                                                      
[43] "okay maybe anaconda actually decoy theres really better movie waiting make debut "                                                           
