 [1] " s nostalgia didnt make feel old s nostalgia bound "                                                                            
 [2] "one latter set wedding singer seems written someone experience s directly read article parade magazine "                        
 [3] " wacky fashions "                                                                                                               
 [4] " "                                                                                                                              
 [5] " "                                                                                                                              
 [6] " music "                                                                                                                        
 [7] " "                                                                                                                              
 [8] " "                                                                                                                              
 [9] " references aplenty celebrities signs times seems tediouslyand obviouslyinserted didntwedressfunnybackthen chuckle "            
[10] " plot standard romantic comedy nothing original robbie adam sandler wedding singer julia drew barrymore waits tables weddings " 
[11] " engaged however robbies fiance angela featherstone dumps altar julias fiance matthew glave skirtchasing speculator junk bonds "
[12] "robbie julia go expected upsanddowns realize meant together "                                                                   
[13] "ill fess upive never found adam sandler funny "                                                                                 
[14] "whatever appeal ive missed "                                                                                                    
[15] " comedians dont get include pauly shore pee wee hermanmake judgments "                                                          
[16] " stupidity artificiality whole project summarized cameo billy idol "                                                            
[17] "idol looks like hell ravages lifestyle barely concealed thick makeup "                                                          
[18] "hes mocked photo younger self rolling stone cover scene "                                                                       
[19] " supposed notice supposed notice silly billy idol suddenly appears play fairy godmother robbie "                                
[20] " cameos steve buscemi jon lovitz provide real laughs movie "                                                                    
[21] "lovitz especially good playing rival wedding singer plotting mania bond villain take advantage robbies postbreakup depression " 
