 [1] " warning signs terrible movie "                                                                                                                                         
 [2] "making debut dollar theater "                                                                                                                                           
 [3] "locally chairman board just "                                                                                                                                           
 [4] " annoying prop comic scott thompson better known carrot top lead role "                                                                                                 
 [5] "chairman board "                                                                                                                                                        
 [6] " overly exhausted paper thin plot approached utter incompetence "                                                                                                       
 [7] " somebody say chairman board "                                                                                                                                          
 [8] "thats right carrot tops long dreaded major motion picture debut least starring role poking handful theaters across country "                                            
 [9] "chairman board stars obnoxious wannabezany king redheaded standup comics lazy creative inventive uneventful generation x er named edison "                              
[10] "living pair surfer dudes small rented house edison bounces job job always squandering away money eccentric say least inventions ignoring crucial responsibilities rent "
[11] " crabby landlady ms krubavitch estelle harris best known george constanzas mother seinfeld threatening eviction past due expenses arent furnished post haste "          
[12] " luck edison soon meets armand mcmillan jack warden old surfer dude just happens president multimillion dollar mcmillan industries "                                    
[13] "sharing passion just riding waves armand deeply impacted young inventors notebook dreams ideas old man dies soon afterward edison learns named benefactor armands will "
[14] "predictably edison acquires entire corporation maintain productivity absolutely knowledge business world "                                                              
[15] "predictably bitter nephew larry miller whose lesser inheritance fuels resentment will lead elaborate sabotage plot "                                                    
[16] "predictably attractive employee courtney thornesmith whose initial repulsion will transform love doofy protagonist "                                                    
[17] "predictably man knows nothing will fight odds give company profitable successful turnaround ever ran things common sense greed "                                        
[18] " though writers turi meyer al septien alex zamm meyer septien also wrote leprechaun together "                                                                          
[19] "pulled plot hat worked carrot top "                                                                                                                                     
[20] " jokes surprises developments run predictable path may carrot tops signature brazen red hairdo sets one apart myriad similar films "                                    
[21] " movie bad speaks "                                                                                                                                                     
[22] "whats left say every element movie possesses shameful retread movies past "                                                                                             
[23] " script recycled direction hokey acting absolutely horrible "                                                                                                           
[24] " thornesmith seems take job seriously accomplishment surely deserves medal honor "                                                                                      
[25] " certainly went beyond call duty kiss carrot top "                                                                                                                      
[26] " barf bag please "                                                                                                                                                      
[27] "movies like give audience nothing ponder just many synonyms bad really "                                                                                                
[28] "chairman board without doubt deserves every one "                                                                                                                       
[29] " way wont end everybodys bottom ten year list lucky enough never seen "                                                                                                 
[30] "just cant miss outlandish fiery mane dont skimp avoiding abhorrent feature "                                                                                            
