 [1] "theres reason doubt donnie brasco based opening credits proclaim true story "                                                                                                                                                                 
 [2] " accurate picture life americas mean streets cinematic depictions organised crime much stronger basis reality previously thought "                                                                                                            
 [3] " films outset group hoods jocularly trade differing opinions merits various automobiles unlike number movie lowlifes recently gave madonna song close reading donnie brasco resembles passingly gangster flicks believed works fiction "      
 [4] " eponymous hero johnny depp cheap crook first appears "                                                                                                                                                                                       
 [5] "brasco joseph pistone undercover fbi agent task chummingup lefty al pacino seasoned hood tutors pistone art wiseguy "                                                                                                                         
 [6] "regrettably pistone learns lessons well "                                                                                                                                                                                                     
 [7] " concern lefty burdened heroin addicted son exacerbates family troubles children resent lengthy absences wife fears husbands gangster persona becoming little convincing "                                                                    
 [8] "true focus pistones family life deviate typical gangsterflick formula subplot never rises television drama origins "                                                                                                                          
 [9] " unhappy couple trade predictable lines engage drawnout domestic squabbles including illadvised marriage guidance routine slow film unnecessarily "                                                                                           
[10] " biggest problem donnie brasco however wiseguy attitude style lacks flair many predecessors "                                                                                                                                                 
[11] " awkward use occasional disco tune momentarily reminds us s consistent blindingly tacky style loved fluoro coloured suits scorces costume drama casino "                                                                                      
[12] " importantly pacinos presence triggers memories earlier movie triumphs similar territory covered far effectively "                                                                                                                            
[13] "donnie brascos take american values instance feeble obvious "                                                                                                                                                                                 
[14] "lefty rambles dreams material betterment accompaniment grating inspirational music "                                                                                                                                                          
[15] "inexplicably leftys horatio alger inspired gush supposed move us "                                                                                                                                                                            
[16] " doesnt family troubles dealt saccharine obvious manner pistones "                                                                                                                                                                            
[17] "just think minute themes explored godfather movies scarface "                                                                                                                                                                                 
[18] " pictures pacinos dedication peculiar bloody hypercapitalism twisted confronting dogged application macho wiseguy procedure meant relations friends family intriguingly dark neither spared bloody retribution breaching wiseguy regulations "
[19] "donnie brascos tawdry little crime therefore isnt much repetition familiar gangster themes shameless way sanitises "                                                                                                                          
[20] " oh way forgot mention script also sports startling subplot pipstones superiors obstructive incompetents infuriated constant insubordination damn mcbain "                                                                                    
[21] " hear springfield way "                                                                                                                                                                                                                       
[22] " movie cliched "                                                                                                                                                                                                                              
[23] "big deal expect gangsterflick "                                                                                                                                                                                                               
[24] "well expect quality action sequences bravado performances abundance going decent example genre "                                                                                                                                              
[25] "donnie brasco fails counts "                                                                                                                                                                                                                  
[26] " action scenes never rise ordinary depps woeful performance tends smother goodwork comrades "                                                                                                                                                 
[27] "admittedly pacino nothing new michael madsen sonny simply smirks way picture like slightly subdued mr white possess unmistakable sly charm "                                                                                                  
[28] "depp usually exhibits bit class regrettably presence one betters must left starstruck completely hellbent mimicking pacinos wellearned high style "                                                                                           
[29] " consequences painful watch "                                                                                                                                                                                                                 
[30] " exaggeration say films credibility seriously strained sight pistone familys uncanny ability keep straight face front breadwinners phony brooklyn accent "                                                                                    
[31] "perhaps take pity makers donnie brasco "                                                                                                                                                                                                      
[32] "maybe scrupulous adherence pinpoint accuracy demanded tiered dialogue scenarios weakly reminiscent classic gangster flicks "                                                                                                                  
[33] " indeed case surely makers donnie brasco explored fascinating possibility americas underworld committed emulating albeit heavily attenuated form movie namesakes "                                                                            
[34] "depp poignantly played simple cop becomes hideous parody forced mimic bigscreen gangster greats "                                                                                                                                             
[35] " knows insights criminal psyche arisen "                                                                                                                                                                                                      
[36] " perhaps donnie brasco isnt true "                                                                                                                                                                                                            
