 [1] " never confused watching movie "                                                                                                                  
 [2] " meet joe black probably one visually satisfying films year cinematography music cast will dazzle us "                                            
 [3] " time probably boring ridiculous experience hat will season "                                                                                     
 [4] " first marvel elegant direction graceful cinematography sensual musical score "                                                                   
 [5] " youll wait something happen half hour finally understand whats going youll wonder actors anthony hopkins brad pitt claire forlani film like "    
 [6] " script simply silly unresolved story artificially stretched three hour long motion picture "                                                     
 [7] " feels like eternity "                                                                                                                            
 [8] " time pompous soap opera filled empty dialogue actors deliver high pitched voice meaningful winks "                                               
 [9] " film based alberto caesellas play death takes holiday "                                                                                          
[10] " story concentrates around bill anthony hopkins lives fulfilled life successful business man sometimes wakes middle night hears voice saying yes "
[11] "soon meets young elegant gentlemen brad pitt introduces death "                                                                                   
[12] " bills time "                                                                                                                                     
[13] " death plans "                                                                                                                                    
[14] " come us simple mortals find means alive "                                                                                                        
[15] " bill chosen deaths guide exchange gets time "                                                                                                    
[16] "bill introduces death joe black immediately becomes center everyones attention "                                                                  
[17] "bills business partners speculate joe constantly bills side lives house resides office "                                                          
[18] " however "                                                                                                                                        
[19] "bills youngest daughter susan claire forlani falls love mysterious stranger joe falls love "                                                      
[20] " relationship bound serious consequences "                                                                                                        
[21] " wouldnt fair say film didnt interesting moments scene joe invited join bills family dinner "                                                     
[22] " joe starts enjoying peanut butter later falls love experience somewhat different "                                                               
[23] " obvious story like story difficult structure "                                                                                                   
[24] " one thing say wouldnt fun death take human form come earth "                                                                                     
[25] " create motion picture another "                                                                                                                  
[26] "four screenwriters worked script lacks drive logic "                                                                                              
[27] " overlong primitive pass serious film "                                                                                                           
[28] " hand demonstrates incredible performances decent direction martin brest scent woman "                                                            
[29] "hopkins looks great role matter shallow hollow will complete "                                                                                    
[30] " talent charisma needed else since actually saves film complete embarrassment "                                                                   
[31] " pitt one got one difficult roles recent time "                                                                                                   
[32] " can play death human form "                                                                                                                      
[33] " seems death life something can associated earthly matters "                                                                                      
[34] " creatures phenomenas "                                                                                                                           
[35] "saying death takes human form suggest eternity take human form "                                                                                  
[36] "handling ridiculous task incredibly difficult pitt deserves credit work "                                                                         
[37] "speaking calm soft voice portraying death lonely distant powerful guy unfamiliar practical earthly matters "                                      
[38] " looks acts like angel death rather demon redeyed executioner "                                                                                   
[39] "claire forlani others also fine stretching stereotypical characters limits "                                                                      
[40] "unfortunately performances enough rescue film self inflicted misery "                                                                             
[41] " words expected director scent woman "                                                                                                            
[42] " better cast crew "                                                                                                                               
[43] " end seems intensively working ravishingly looking soap opera "                                                                                   
