 [1] "vikings v bears "                                                                                                   
 [2] " isnt lineup monday night football "                                                                                
 [3] "rather two opposing forces will battle death th warrior film dramatically flat gratuitously gory "                  
 [4] "based michael crichtons book eaters dead viking saga tries evoke mysticism fabled norsemen glorious battles fought "
 [5] " strength honor eventually etch place history among greatest warriors ever picked sword "                           
 [6] "luckily vikings however warring abilities clumsy film "                                                             
 [7] "antonio bandaras ahmed travelling ambassador "                                                                      
 [8] "accompanied friend omar shariff cameo eventually come across small viking village "                                 
 [9] " see vikings extremely proud group whose greatest strength fortitude "                                              
[10] " laugh heartily revel arrogance sing songs battles won "                                                            
[11] " festivities halted messenger boy arrives tell village leader great evil threatening land "                         
[12] "help needed quickly "                                                                                               
[13] " elderly fortunetelling witch arrives "                                                                             
[14] " brief incantation proclaims warriors one norse blood needed ensure victory "                                       
[15] "personally always wonder people believe oracles look haggardly brink insanity "                                     
[16] "nonetheless men eagerly accept place ahmed becomes pivotal th "                                                     
[17] " group sets greatest battle lives "                                                                                 
[18] " course ride ahmed becomes target fun burly viking warriors "                                                       
[19] " ably shows size dog fight rather size fight dog "                                                                  
[20] " able overcome proud arrogance vikings will skills group enough defeat whatever evil menacing countryside "         
[21] " look promising "                                                                                                   
[22] " creatures resembling bears strong high morale "                                                                    
[23] " fearless display desire decapitating heads enemies "                                                               
[24] " attack hundreds next strike will come soon "                                                                       
[25] " warriors prepare defenses pray gods "                                                                              
[26] " ready sacrifice lives "                                                                                            
[27] " good way die says one fallen warriors "                                                                            
[28] "despite largerthanlife battle sequences unmoved entire experience "                                                 
[29] " many points even confused "                                                                                        
[30] " example somewhere middle film subplot creeps involving prince threatened land "                                    
[31] " seems agenda elevate greater power crisis "                                                                        
[32] "however subplot never fully materializes left scratching heads purpose inclusion "                                  
[33] " questions real problem story little offered characters love hate "                                                 
[34] " leader viking warriors charisma "                                                                                  
[35] "however banderass role completely underwritten unclear th warrior makes special "                                   
[36] " entire rewrite ahmed character order "                                                                             
[37] "also much action takes place torrential downpours night made battles difficult follow "                             
[38] " preferred time looking viking culture beliefs shaped decision battle enemy "                                       
[39] " stands film manages confusion intensity "                                                                          
[40] " make thor cry "                                                                                                    
