 [1] "apparently crap calls jim carrey answers "                                                                                                                                                                                                                                            
 [2] " mugging countless unfunny ways fifth time second goaround role pet detective ace ventura "                                                                                                                                                                                           
 [3] " means talking asscracks penis jokes cries alllllllllllrighty "                                                                                                                                                                                                                       
 [4] " adds sequel makes original resemble schindlers list terms dramatic merit lack "                                                                                                                                                                                                      
 [5] "granted laughs amid constant barrage preschool humor anyone appreciates good comedy will bang head wall ten times every minor chuckle "                                                                                                                                               
 [6] " painful experience anyone brain "                                                                                                                                                                                                                                                    
 [7] "ace distraught accidentally dropping racoon canyon parody opening scene sylvester stallones cliffhanger jim carrey person can make stallone look like college professor terms intellect lack decides retire mountains tibet gain higher level consciousness case level consciousness "
 [8] " pulled retirement tune retrieve sacred white bat african tribe "                                                                                                                                                                                                                     
 [9] " africa "                                                                                                                                                                                                                                                                             
[10] " carrey can disguise nude inside fake rhino later climb rear end tourist family watches look rhinos give birth "                                                                                                                                                                      
[11] " seems like heehaw humor means see movie "                                                                                                                                                                                                                                            
[12] " claim place human civilization rest us "                                                                                                                                                                                                                                             
[13] "obviously quite nonmembers civilization made movie like first ace ventura film use word film filmed theres level artistic merit huge success "                                                                                                                                        
[14] " fact carrey career decline intelligence culture "                                                                                                                                                                                                                                    
[15] " may say andrew look jerry lewis "                                                                                                                                                                                                                                                    
[16] " born negative q "                                                                                                                                                                                                                                                                    
[17] " look popular thirty years ago "                                                                                                                                                                                                                                                      
[18] "maybe still say jerry lewis notch two comedic ladder never actually impression movie rabid bulldog biting mans testicles "                                                                                                                                                            
[19] "lewis least dignity save performance company came "                                                                                                                                                                                                                                   
