 [1] " giant begins monologue thats funny distinctive princess bride medieval fairytaleinthe s feel "                                                                                                       
 [2] " pleasantly surprised sharp comedy funny scenes occurring movie set romania talent agent sammy billy crystal visiting client monastery sammy ends mysteriously saved accidentally plunges car stream "
 [3] " sammy meets max giant mysterious savior played gheorghe muresan magic air albeit bit goofy loved every minute "                                                                                      
 [4] " film course plays size difference two times almost swear must special effects "                                                                                                                      
 [5] " particularly enjoyed shot sammy dangling legs maxsized chair two face enormous table eat oversized bowls spoons "                                                                                    
 [6] " also liked jere burns tvs something right performance director film romania "                                                                                                                        
 [7] " point primary flaw film gheorghe muresan incredibly hard understand particularly fastpaced first scene "                                                                                             
 [8] " unfortunate script required speak quickly right gate understand film continued became accustomed speech "                                                                                            
 [9] "however time muresan becomes coherent characters head new york film takes dive "                                                                                                                      
[10] " high board "                                                                                                                                                                                         
[11] "suddenly expected believe sammy dowhateverittakes slime ball "                                                                                                                                        
[12] " point pursuing interests sure didnt come desperate jerk "                                                                                                                                            
[13] " first scenes never lighthearted magical "                                                                                                                                                            
[14] " now new york introduced neglected wife son character desperate enough involve max disturbing giant vs midgets wrestling match found quite unpleasant jarring within framework film "                 
[15] "indeed many scenes stuck film like incorrectly placed puzzle pieces "                                                                                                                                 
[16] " includes scenes featuring steven seagal sammy gets max role big hollywood movie filming las vegas "                                                                                                  
[17] " enjoyed seeing seagal poke fun scenes appeared exist solely participation rather film demanded "                                                                                                     
[18] " audience required take huge leap believe max win role based quotations shakespeare "                                                                                                                 
[19] " point found thinking supposed believe someone cast guy film "                                                                                                                                        
[20] " realized watching "                                                                                                                                                                                  
[21] " final third film undergoes another transformation time unbridled sentimentality "                                                                                                                    
[22] "note major plot points revealed final paragraph "                                                                                                                                                     
[23] "max went america sammy promised reunited childhood love lillianna hasnt seen since normalsized kid "                                                                                                  
[24] " refusal see max unbeknownst leads us awkward ends justify means scene sammys wife serena played nicely kathleen quinlan poses lillianna "                                                            
[25] " found scene offensive "                                                                                                                                                                              
[26] " rely deception induce warm fuzzy feelings audience reduced max someone pity coddle thought quite undeserved "                                                                                        
[27] " think max handled truth gratuitous illness "                                                                                                                                                         
[28] "late film learn max fact giants heart condition shortens lives considerably "                                                                                                                         
[29] " enlightening revelation film seemingly presents justify sammys transformation caring sensitive guy hey great dad husband "                                                                           
[30] " giant suffers poorly constructed story line undeveloped characters whose actions determined plot points rather internal persuasions "                                                                
[31] " stronger story room character growth might possible focus maxs struggle accepted cast movies instead sammys struggles get money become better person "                                               
[32] " scenario maxs illness integral part film story motivator "                                                                                                                                           
[33] "sentiment emotion followed naturally "                                                                                                                                                                
[34] "instead apparently supposed like sammy end allowed focus max "                                                                                                                                        
[35] "crystal muresan give adequate times enjoyable performances end giant left feeling like id fed gruel giant spoon "                                                                                     
