 [1] "plot little boy born east germany named hansel loves american music "                                                                                                                                   
 [2] "one day gets opportunity meet marry american g first must get sex change enter hedwig "                                                                                                                 
 [3] " married two move states quickly thereafter get divorce "                                                                                                                                               
 [4] " point hedwig starts writing music meets another confused boy soon turns star "                                                                                                                         
 [5] " boy also turns back hedwig isnt long hedwig puts together hisher band tours states via seafood restaurants "                                                                                           
 [6] " story hisher life told via flashbacks musical numbers "                                                                                                                                                
 [7] "critique artsyfartsy musical great songs superb performance john cameron mitchell doesnt really come together whole overthetop symbolism incoherence much pretension retain interest whole way "        
 [8] " fact isnt much realistic articulate behindthescenes look rise rock n roll star ambiguous overly poetic incomprehensible struggle man sexuality identity whole person planet "                          
 [9] " guess expecting former going "                                                                                                                                                                         
[10] " film somewhat interesting point personally never able involve much basic symbolic incongruent nature film left feeling cold distant "                                                                  
[11] " definitely tuned certain type audience "                                                                                                                                                               
[12] "chances fan wall rocky horror picture show even priscilla queen desert elements tangled movie will likely strike fancy characters film even ask audience sing along point provide lyrics song onscreen "
[13] "well personally dont care films didnt really get whole show atmosphere movie either "                                                                                                                   
[14] " guess mightve looked literally like said earlier just didnt care enough characters delve butterfly represents freedom "                                                                                
[15] "side things "                                                                                                                                                                                           
[16] " know film left many questions unanswered didnt make feel fulfilled "                                                                                                                                   
[17] " hedwigs relationship member band beard "                                                                                                                                                               
[18] " happened hedwig tommy gnosis end movie "                                                                                                                                                               
[19] " actual sequence fantasy "                                                                                                                                                                              
[20] " ever happened lawsuit "                                                                                                                                                                                
[21] " "                                                                                                                                                                                                      
[22] " part film interested somewhat "                                                                                                                                                                        
[23] " idea behind film main character uncover hisher sexuality thats one thing many relationships situations presented movie wanted resolution pieces well "                                                 
[24] " didnt get "                                                                                                                                                                                            
[25] " films humor also didnt tickle funny bone either "                                                                                                                                                      
[26] " ive seen many film arthouse theatres patrons rolling aisles laughter see tiny bit whimsy screen "                                                                                                      
[27] " films also better enjoyed added atmosphere plant called marijuana can certainly see movie ingrains within nifty visual elements order jazz experience "                                                
[28] " sober expecting coherent funny musical transsexual twist didnt leave theater satisfied "                                                                                                               
[29] " came watched existential story confused man caught musical lifestyle wrapped metaphors dramatics questions answers "                                                                                   
[30] " will hand definitely hand props lead film john cameron mitchell also man wrote directed created play movie based tunes will likely enjoyed anyone digs sex pistols david bowie whole s glamrock scene "
[31] "note btw seems though pretty much every single mainstream critic united states loved movie top bottom thought really funny boot might want take consideration "                                         
[32] " said main reason started dinky website first place films like sometimes uniformly applauded official critics regular joblo audience just wouldnt get fuss "                                            
[33] " movie perfect example continue write movie reviews "                                                                                                                                                   
[34] "wheres joblo coming "                                                                                                                                                                                   
[35] "moulin rouge grease everyone says love opposite sex dancer dark o brother art thou loves labours lost "                                                                                                 
