 [1] "around end japanese cartoon came usa television really wasnt big "                                                                                                                            
 [2] " fact many people even knew pokemon hit big kids adults alike became one biggest franchises merchandise seller time "                                                                         
 [3] " fact even spawned big screen adventure pokemon first movie wasnt bad "                                                                                                                       
 [4] " grossed million opening weekend went make almost million "                                                                                                                                   
 [5] "fans thought great now second movie pokemon craze pokemon movie far inferior original animated movie "                                                                                        
 [6] "first plot really isnt much fact plot bad guy trying destroy ancient never seen pokemon lugia except fact ash kethcum worlds best pokemon trainer must try stop destroys one pokemon forever "
 [7] "well go course ash followed friends misty brock gary pokemon friends pikachu squirtle charizard usual "                                                                                       
 [8] "even though first movie wasnt great film definately enjoyable wellmade movie actual thin storyline "                                                                                          
 [9] " new movie however nothing garbage nothing good storywise good thing comes plush animation colors "                                                                                           
[10] "compared first film movie awfully bland opening titles end titles tries best work fails miserably every corner "                                                                              
[11] " characters dimensional story thin chicken broth writing lame "                                                                                                                               
[12] "even called action scenes extremely lame falls even gets chance go "                                                                                                                          
[13] " voices even arent good almost feels like stars dont want like can tell extremel bad movie "                                                                                                  
[14] " certainly "                                                                                                                                                                                  
[15] " film one thing going animation although disney standards still good interesting cgis colorful animation colors jump fast seem nicely put film "                                              
[16] " film bad got good treatment animation still question answered hopefully pokemon next year will much better trash "                                                                           
[17] " now watch first one "                                                                                                                                                                        
[18] " much much better "                                                                                                                                                                           
