 [1] "suicide pointless everyone know "                                                                                                 
 [2] " whats movie like "                                                                                                               
 [3] " guessed "                                                                                                                        
 [4] "pointless "                                                                                                                       
 [5] " virgin suicides focuses lives five lisbon sisters perspective teenage boys fascinated "                                          
 [6] " youngest lisbon sister commits suicide sets motion series events will change lives many people forever "                         
 [7] "thats press materials film probably say "                                                                                         
 [8] "now heres say virgin suicides huge waste time "                                                                                   
 [9] "boring arty pretentious junk entertaining "                                                                                       
[10] "well committing suicide "                                                                                                         
[11] " movie lost early immediately following scene younger daughter jumps death bedroom window "                                       
[12] " girls father james woods holds lifeless body arms horrified family looks "                                                       
[13] " scene ends lawn sprinklers come "                                                                                                
[14] " joke "                                                                                                                           
[15] " supposed amusing way "                                                                                                           
[16] " movie failed draw back "                                                                                                         
[17] "performances saving grace virgin suicides "                                                                                       
[18] "woods plays character actually interest came onscreen performance kirsten dunst next youngest daughter lux worth mentioning well "
[19] "dunst potential big star chooses projects well "                                                                                  
[20] " film awful manages come away virtually unscathed "                                                                               
[21] " also cameos film frustrate audience leave wanting "                                                                              
[22] " result seem rather pointless although theres brief role given michael pare eddie cruisers turns best role since "                
[23] "well since eddie cruisers "                                                                                                       
[24] "perhaps virgin suicides worked story told point view people little access main characters "                                       
[25] " never get significant insight girls might feeling theyre feeling "                                                               
[26] " really know mrs lisbon kathleen turner strict keeps short leash "                                                                
[27] " mother doesnt "                                                                                                                  
[28] " certainly reason commit suicide "                                                                                                
[29] " godfather part iii sofia coppola proved business front camera "                                                                  
[30] " virgin suicides proves business behind either "                                                                                  
[31] " family connections doesnt entitle allowed make movies "                                                                          
[32] " attention film directors "                                                                                                       
[33] "stop letting daughters pout way industry "                                                                                        
[34] "just share dna doesnt mean share talent "                                                                                         
[35] "r "                                                                                                                               
