 [1] "louie trumpeter swan voice "                                                                                                               
 [2] " order woo lady love serina louie makes friends young boy sammy persuades teacher mrs hammerbottom carol burnett allow louie attend class "
 [3] "louie learns read write returns flock laughed swans can understand message love serina "                                                   
 [4] " make matters worse louies father feels hes lost honor trumpet stole son animated version e b "                                            
 [5] "whites trumpet swan "                                                                                                                      
 [6] " jane austen henry james become popular sources adult filmmakers past decade e b "                                                         
 [7] "white returned childrens films "                                                                                                           
 [8] " animated charlottes web become minor classic since release brought us live action version stuart little "                                 
 [9] " trumpet swan directed richard rich s animated king swan princess series unlikely remembered along two "                                   
[10] " trumpet swan receiving regional theatrical release sure quickly appear home video "                                                       
[11] "boston one targetted cities hero louie becomes famous playing trumpet beantown "                                                           
[12] " encounters gypsylike con man public gardens pitches louie trumpet added attraction bostons swan boats "                                   
[13] "louie stays ritz carlton giving concert hatch shell along banks charles river "                                                            
[14] " point louies earned enough money dad can pay trumpet become musically capable enough win serinas father "                                 
[15] " trumpet swan features flat background art poor sound syncing insipid sugary songs "                                                       
[16] " effort better suited saturday morning television big screen may ok real small set "                                                       
