 [1] "filmmakers will use manner tricks flesh brighten dull dreary overused idea "                                                                                                                                                                                                            
 [2] "doug liman swingers director ultrahip severely dark comedy go example just filmmaker "                                                                                                                                                                                                  
 [3] " latest gives viewers raucous neonlit backdrop cinematographer points audience druginfested path misadventure director "                                                                                                                                                                
 [4] " fails come parallel structure multitiered movie fails connect audience level bringing worth efforts nil value go "                                                                                                                                                                     
 [5] " movie produced anthologystyle telling story multiple three points view much author might write serial novel "                                                                                                                                                                          
 [6] "consistent ethic liman screenwriter john august provide bit overlap beginning narrative insert brief connections narratives "                                                                                                                                                           
 [7] " thread laces three stories together drug deal events thereafter "                                                                                                                                                                                                                      
 [8] " story checkout clerk ronna sarah polley looking score rent money turning drug trafficking story b regular drug dealer simon desmond askew gone las vegas giving ronna opportunity story c gay soap actors zack jay mohr adam scott wolf working undercover police bust said drug deal "
 [9] "neither three stories much substance movie feel campfire story albeit rather strange one told five ten minutes "                                                                                                                                                                        
[10] " fact movie originally short film entitled x expanded feature length "                                                                                                                                                                                                                  
[11] " early april release date mistimed capitalize movies christmas setting los angeleslas vegas nightlife something far mainstream theatergoers attach "                                                                                                                                    
[12] " characters shallow point prerequisite performances littleknown players like polley askew taye diggs dont help hurt roles "                                                                                                                                                             
[13] " fact even bigger names like mohr wolf katie holmes dont enough time make substantial success "                                                                                                                                                                                         
[14] "although thats almost expected lack continuous screen time success picture come thread binds stories "                                                                                                                                                                                  
[15] "go doesnt suffers "                                                                                                                                                                                                                                                                     
[16] " far teen movies concerned go represents absolute bottom constant stream indecipherable light sound mean nothing without sort common theme "                                                                                                                                            
[17] " following count common themes drug deals people attempting romantic interludes drug dealers people resorting drug deals alterior motives people involved drug deals stumbling "                                                                                                        
[18] " times humor go sickly funny low night almost watchable majority running time viewers movie will best left teens blockbuster saturday night "                                                                                                                                           
