 [1] " cant "                                                                                                                                                                                                                                                                                                                                                          
 [2] " mine "                                                                                                                                                                                                                                                                                                                                                          
 [3] " twisted priest charles huevelman hordes tasty fried chicken dana angela zimmerly looks uninterested "                                                                                                                                                                                                                                                           
 [4] " evil presence appropriately named presence dj vivona rules alternate dimension neither angels demons can touch "                                                                                                                                                                                                                                                
 [5] " kicks presence likes trick human rounding five friends can sent dimension systematically slaughtered "                                                                                                                                                                                                                                                          
 [6] " something goes wrong one presences recent victims escapes angels demons alerted existence feel threat needs stopped "                                                                                                                                                                                                                                           
 [7] " enlist help alison ramona midgett recent suicide victim return flesh follow six new enlistees ice wall surrounds netherrealm "                                                                                                                                                                                                                                  
 [8] " mission melt away ice barrier allow angels demons access reminding presence ancient court jester named abraham lost job king queen killed "                                                                                                                                                                                                                     
 [9] " kings sorcerer amblyn also lost job decided take abraham wing apprentice "                                                                                                                                                                                                                                                                                      
[10] " downtime unemployment amblyn decided create new dimension sorcery evil torture ruled "                                                                                                                                                                                                                                                                          
[11] "abraham wished follow master new realm asked show devotion evil wizard murdering one true love "                                                                                                                                                                                                                                                                 
[12] " new realm amblyn allow abraham pursue sport hunting destroying humans brought realm "                                                                                                                                                                                                                                                                           
[13] " murder abraham become stronger power surpassed amblyns "                                                                                                                                                                                                                                                                                                        
[14] " screwup allowed recent escape abraham able destroy master take control realm "                                                                                                                                                                                                                                                                                  
[15] " alison quests find abraham show errors ways six new hapless humans allowed live worst nightmares brutally murdered "                                                                                                                                                                                                                                            
[16] " theres one thing cant stand see film film pretentious arty just sake pretentious arty "                                                                                                                                                                                                                                                                         
[17] "films like eraserhead begotten two worst examples now ice sun can added list "                                                                                                                                                                                                                                                                                   
[18] " film essentially minute stalkandslash film following dantes inferno idea hell corresponds lived life one plots nightmare elm street intercut almost minutes strange supposedly haunting images many serve confuse plot "                                                                                                                                        
[19] " arent bizarre images floating past screen get pointless shots suicidal alison staring breakfast minutes time contemplating whether answer phone "                                                                                                                                                                                                               
[20] "compelling ultimately "                                                                                                                                                                                                                                                                                                                                          
[21] " opening credits sequence designed like music video unknown industrial band featuring various random images film interspersed random images "                                                                                                                                                                                                                    
[22] " credits run entire length song almost five minutes actual cast listing credit information doesnt pop near end sequence "                                                                                                                                                                                                                                        
[23] " opening credits began thought vcr accidentally cut interstitial mtv found way tv "                                                                                                                                                                                                                                                                              
[24] " least music film pretty decent made mostly industrial hard rock music even features song ramona midgett "                                                                                                                                                                                                                                                       
[25] " beginning film established presence possesses supernatural powers like shooting bullets palms hands decapitating people waving hand front talks like darth vader clone without heavy breathing "                                                                                                                                                                
[26] " reason though delegates main stalkings seems like supporting cast deliverance "                                                                                                                                                                                                                                                                                 
[27] "one overalled cretin handles presences gravedigging likes chop peoples heads shovel theres inbred father dwight spurgin two inbred children mark kettler jennifer poirrierwallace take care young woman transformed half doghalf human mix shotgun course big truck driving guy likes tie people naked back vehicle drag across stone roads pouring salt wounds "
[28] " want give responsibilities bunch rednecks cool powers "                                                                                                                                                                                                                                                                                                         
[29] " fellow screws buddies able round exactly five friends complete number people required enter realm exactly time "                                                                                                                                                                                                                                                
[30] " can barely get two together given moment "                                                                                                                                                                                                                                                                                                                      
[31] " ridiculous segment though comes right aforementioned draggingsalting sequence "                                                                                                                                                                                                                                                                                 
[32] " character question dana angela zimmely turn killed standing front movie theater presence seated "                                                                                                                                                                                                                                                               
[33] " priest holding two naked dirty humans leashes walks sits next large platter fried chicken "                                                                                                                                                                                                                                                                     
[34] " picks entire platter starts enjoy chicken taunting dana looks interest whatsoever "                                                                                                                                                                                                                                                                             
[35] " starts leave priest chides going performance starts something looks like either creature gwar show terry gilliam animation monty python come life walks makes like wants crucified "                                                                                                                                                                            
[36] " presence starts clap annoyingly continues rest sequence dana takes strange creature following "                                                                                                                                                                                                                                                                 
[37] " finally catches stabs giant eyeball covered slimy glop spurts ruptured organ "                                                                                                                                                                                                                                                                                  
[38] " box film claims horrifying nature motion picture parental discretion advised persons age "                                                                                                                                                                                                                                                                      
[39] "contains nudity graphic violence "                                                                                                                                                                                                                                                                                                                               
[40] " certainly true doesnt seem much either large amounts "                                                                                                                                                                                                                                                                                                          
[41] "besides loving close spurting neck stump semigraphic selfsurgery scene two instances head trauma one run one melting gore just spraying blood bloody wound covered body variety "                                                                                                                                                                                
[42] " nudity sparse least get see angela zimmerly far away attractive cast member body bruised torn bloodied dragging incident "                                                                                                                                                                                                                                      
[43] "ice sun released vhs www bmovie com "                                                                                                                                                                                                                                                                                                                            
[44] " presented fullframe transfer film shot good deal mm pretty decent "                                                                                                                                                                                                                                                                                             
[45] "besides decent soundtrack also available www bmovie com makingof video also available called thin ice "                                                                                                                                                                                                                                                          
[46] " havent opportunity see documentary actually interested see set like shots filmed see director eric stanze director similar cult film called savage harvest conducted atmosphere set "                                                                                                                                                                           
